,likes,time,servings,ingredients,nutritions,link
Roasted Veggie Salad With Avocado Dressing,95% WOULD MAKE AGAIN,,for 4 servings,"1 red bell pepper, roughly chopped; 1 lb butternut squash (455 g); 1 lb brussels sprouts (455 g), hulled and halved; 2 tablespoons dried oregano; 1 teaspoon salt; 1 teaspoon black pepper; 3 tablespoons olive oil; 4 oz mixed greens (115 g); 1 avocado; 1 clove garlic, small; 1 lime, juiced; ¼ cup olive oil (60 mL); ½ teaspoon salt; ¼ teaspoon black pepper","Calories 230
Fat 13g
Carbs 30g
Fiber 10g
Sugar 6g
Protein 5g",https://tasty.co/recipe/roasted-veggie-salad-with-avocado-dressing
Dairy-Free Avocado Key Lime Pie,88% WOULD MAKE AGAIN,,for 8 servings,"coconut oil, for greasing; 1 cup almond (140 g); ½ cup cashews (65 g); 1 cup pitted dates (170 g); ¼ cup shredded coconut (25 g), plus more for garnish; 2 tablespoons coconut milk; 1 teaspoon vanilla extract; 1 pinch salt; 2 ripe avocados; ¾ cup coconut butter (165 g); 2 tablespoons cornstarch; 1 key lime, zested; 1 cup key lime juice (240 mL); ½ cup maple syrup (170 g); ⅓ cup coconut milk (80 mL); 1 tablespoon vanilla extract; ¼ teaspoon salt","Calories 630
Fat 49g
Carbs 43g
Fiber 9g
Sugar 25g
Protein 9g",https://tasty.co/recipe/dairy-free-avocado-key-lime-pie
Easy Chimichurri Sauce,97% WOULD MAKE AGAIN,Under 30 minutes,for 4 servings,"1 cup fresh cilantro (40 g), chopped; 1 cup fresh parsley (40 g), chopped; ½ yellow onion, diced; 3 cloves garlic, peeled; ¼ cup olive oil (60 mL); 2 tablespoons red wine vinegar; ½ teaspoon salt; ½ teaspoon pepper; 1 lime, juiced","Calories 56
Fat 3g
Carbs 5g
Fiber 0g
Sugar 2g
Protein 0g",https://tasty.co/recipe/easy-chimichurri-sauce
Extra Crispy Spicy Fried Cauliflower,95% WOULD MAKE AGAIN,,for 4 servings,"1 head large cauliflower, or 2 small heads, washed; 1 teaspoon celery salt; 1 teaspoon dried oregano; 1 teaspoon cumin; 1 teaspoon onion powder; 1 teaspoon garlic powder; 1 teaspoon paprika; 1 teaspoon cayenne pepper; 1 teaspoon salt; 1 teaspoon pepper; 2 cups all-purpose flour (250 g); 2 tablespoons cornstarch; 1 ½ cups soy milk (360 mL); 1 ½ tablespoons apple cider vinegar; 2 tablespoons hot sauce; vegetable oil, for frying","Calories 435
Fat 9g
Carbs 74g
Fiber 8g
Sugar 7g
Protein 14g",https://tasty.co/recipe/extra-crispy-spicy-fried-cauliflower
Power Protein Brownies,74% WOULD MAKE AGAIN,Under 30 minutes,for 12 servings,"3 bananas, very riped, chopped; 15 oz black beans (425 g), rinsed and drained; ½ cup dark cocoa powder (60 g); ⅔ cup almond butter (160 g), or nut butter of choice; 1 cup almond flour (95 g); ¼ teaspoon kosher salt; 1 teaspoon baking powder; 1 tablespoon pure vanilla extract; ¼ cup dark chocolate chips (40 g)","Calories 283
Fat 18g
Carbs 26g
Fiber 8g
Sugar 8g
Protein 10g",https://tasty.co/recipe/power-protein-brownies
Bánh Mì Bowl With Crispy Tofu,93% WOULD MAKE AGAIN,,for 2 servings,"16 oz extra firm tofu (455 g); salt, to taste; pepper, to taste; ½ cup low sodium soy sauce (120 mL); ¼ cup rice wine vinegar (60 mL); 1 teaspoon sesame oil; 2 cloves garlic, minced; 2 tablespoons ginger, finely grated; 1 large cucumber; 3 small carrots; brown rice; fresh cilantro; green onion; red cabbage; radish, sliced; fresh mint; jalapeño, sliced","Calories 323
Fat 14g
Carbs 28g
Fiber 5g
Sugar 18g
Protein 28g",https://tasty.co/recipe/banh-mi-bowl-with-crispy-tofu
Anti-Inflammatory Aid Wellness Shot,91% WOULD MAKE AGAIN,,for 4 shots,"2 oranges, juiced; 2 lemons, juiced; 1 inch piece fresh turmeric, peeled; ⅛ teaspoon black pepper; ⅛ teaspoon cayenne","Calories 47
Fat 0g
Carbs 12g
Fiber 2g
Sugar 8g
Protein 0g",https://tasty.co/recipe/anti-inflammatory-aid-wellness-shot
2½ Hour Tomato Sauce,95% WOULD MAKE AGAIN,,for 6 servings,"¼ cup olive oil (60 mL); 2 cloves garlic, crushed; 1 small onion, halved; 56 oz tomato (1.60 kg), whole canned; 2 teaspoons salt, plus more to taste; 1 teaspoon dried oregano; 1 dried basil; 1 bay leaf; ¼ cup fresh basil (10 g), chopped; pepper, to taste; sugar, to taste","Calories 93
Fat 3g
Carbs 16g
Fiber 4g
Sugar 9g
Protein 3g",https://tasty.co/recipe/2-1-2-hour-tomato-sauce
Healthy ABC Pudding,86% WOULD MAKE AGAIN,"Total Time
10 minutes
Prep Time
5 minutes
Cook Time
5 minutes",for 2 servings,"2 ripe bananas, sliced; 1 small avocado, ripe but not mushy, diced; ¼ cup unsweetened cacao powder (25 g); ½ teaspoon vanilla extract; 4 teaspoons maple syrup; 1 pinch kosher salt; chocolate chip; mixed berry; toasted coconut flake; toasted nut; cacao nib; banana, sliced; granola","Calories 324
Fat 13g
Carbs 56g
Fiber 18g
Sugar 25g
Protein 5g",https://tasty.co/recipe/healthy-abc-pudding
Watermelon Salad With Spinach And Mango,92% WOULD MAKE AGAIN,Under 30 minutes,for 6 servings,"1 small watermelon; 3 cups baby spinach (120 g); 1 mango, pitted, peeled, and diced; ½ cup slivered almonds (70 g); 2 tablespoons fresh lemon juice; 1 tablespoon water; 1 tablespoon honey; salt, to taste; pepper, to taste; 2 tablespoons extra virgin olive oil","Calories 200
Fat 6g
Carbs 35g
Fiber 3g
Sugar 28g
Protein 4g",https://tasty.co/recipe/watermelon-salad-with-spinach-and-mango
Vegan Chocolate & Peanut Butter Fudge,89% WOULD MAKE AGAIN,Under 30 minutes,for 25 pieces,1 cup coconut butter (225 g); ½ cup maple syrup (110 g); 1 ½ cups peanut butter (360 g); 1 teaspoon vanilla extract; 4 oz dark chocolate baking bar (110 g),"Calories 132
Fat 11g
Carbs 6g
Fiber 0g
Sugar 5g
Protein 1g",https://tasty.co/recipe/vegan-chocolate-peanut-butter-fudge
Best Spice Rub,97% WOULD MAKE AGAIN,,for 1 cup,¼ cup paprika (30 g); 2 tablespoons brown sugar; 1 tablespoon mustard powder; 2 tablespoons chili powder; 2 tablespoons cumin; 2 tablespoons granulated garlic; 1 tablespoon cayenne; 2 tablespoons kosher salt; 2 tablespoons ground pepper,"Calories 235
Fat 6g
Carbs 43g
Fiber 10g
Sugar 19g
Protein 7g",https://tasty.co/recipe/best-spice-rub
Fiesta Tofu Scramble,94% WOULD MAKE AGAIN,Under 30 minutes,for 4 servings,"1 tablespoon extra virgin olive oil; 1 red bell pepper, seeded and diced; 1 jalapeño, seeded and diced; ¼ medium red onion, diced; kosher salt, to taste; 14 oz extra firm tofu (395 g), drained and patted dry; ½ teaspoon ground turmeric; 1 teaspoon garlic powder; ½ teaspoon onion powder; pepper, to taste; ¼ cup fresh cilantro leaves (10 g); ½ avocado, sliced; Lime wedge, for garnish","Calories 138
Fat 9g
Carbs 7g
Fiber 3g
Sugar 2g
Protein 10g",https://tasty.co/recipe/fiesta-tofu-scramble
The Best Ever Vegan Burger,85% WOULD MAKE AGAIN,,for 4 servings,"1 cup walnuts (100 g); 8 oz cremini mushroom (225 g); 2 tablespoons olive oil, divided; 2 tablespoons low sodium soy sauce; ½ teaspoon cumin; 1 yellow onion, diced; 2 cloves garlic, minced; 1 teaspoon salt; ½ teaspoon red bell pepper; 1 tablespoon tomato paste; 1 cup black beans (170 g), cooked; 3 tablespoons beet, grated; 1 cup brown rice (230 g), cooked; 1 tablespoon vegan mayonnaise; 1 teaspoon vegan worcestershire; 1 teaspoon liquid smoke; ½ cup vital wheat gluten (65 g); vegan bbq sauce, for basting; 4 slices vegan cheese; 4 burger buns; vegan mayonnaise, to serve; lettuce, to serve; sliced tomato, to serve; red onion, sliced, to serve","Calories 674
Fat 28g
Carbs 76g
Fiber 8g
Sugar 12g
Protein 32g",https://tasty.co/recipe/the-best-ever-vegan-burger
Vegan Enchiladas,92% WOULD MAKE AGAIN,,for 4 servings,"2 tablespoons vegetable oil; 2 tablespoons flour, rice flour for gluten-free; 4 tablespoons chili powder; 1 tablespoon dried oregano; 1 teaspoon garlic powder; ½ teaspoon salt; 1 tablespoon tomato paste; 2 cups vegetable broth (470 mL); ½ white onion; 1 bell pepper; 1 zucchini; salt, to taste; pepper, to taste; 1 can black beans; ¼ cup olive (50 g), sliced; green onion (); cilantro, as garnish or in the filling; 8 corn tortillas; avocado, to top; ½ cup raw cashews (65 g); ½ cup water (120 mL), hot water; 1 teaspoon lemon juice; ⅛ teaspoon salt","Calories 321
Fat 16g
Carbs 41g
Fiber 7g
Sugar 5g
Protein 8g",https://tasty.co/recipe/vegan-enchiladas
Vegetarian Gumbo,80% WOULD MAKE AGAIN,,for 5 servings,"6 tablespoons olive oil, divided; 1 cup yellow onion (150 g), diced and divided; 10 oz cremini mushroom (280 g), finely chopped; 6 cloves garlic, minced, divided; 2 tablespoons low-sodium soy sauce; 2 teaspoons dried thyme, divided; 2 teaspoons smoked paprika, divided; 1 teaspoon dried oregano, divided; ½ teaspoon cayenne pepper, divided; 3 teaspoons vegan worcestershire sauce, divided; 1 teaspoon liquid smoke, divided; ½ teaspoon salt, plus more to taste, divided; ¾ teaspoon pepper, divided; 15 oz canned cannellini beans (425 g), drained and rinsed; ¾ cup bread crumbs (85 g); ⅓ cup vital wheat gluten (40 g), or bread crumbs; 3 ½ cups vegetable broth (840 mL), plus 2 tablespoons, divided; 3 tablespoons all-purpose flour; 1 stalk celery, diced; 2 cups okra (200 g), sliced into 1/2-in (1 cm) rounds; 1 green bell pepper, seeded and diced; 1 ½ cups crushed tomatoes (300 g); 15 oz canned red kidney beans (425 g), drained and rinsed; cooked brown rice, for serving; finely chopped fresh parsley, for garnish","Calories 429
Fat 7g
Carbs 70g
Fiber 16g
Sugar 7g
Protein 28g",https://tasty.co/recipe/vegetarian-gumbo
Hearty Protein-Packed Chili,98% WOULD MAKE AGAIN,,for 8 servings,"1 tablespoon olive oil; 3 cloves garlic, minced; 1 medium yellow onion, chopped; 1 jalapeño, seeded and sliced; 1 red bell pepper, seeded and chopped; 4 tablespoons chili powder; 2 cayennes; 2 teaspoons ground cumin; 1 teaspoon black pepper; 1 teaspoon kosher salt; 28 oz crushed tomatoes (795 g); 4 cups vegetable broth (960 mL); 4 medium roma tomatoes, diced; 1 ½ cups quinoa (255 g), rinsed; 1 cup black beans (170 g), drained and rinsed; 1 cup red kidney bean (170 g), drained and rinsed; 1 tablespoon tomato paste; 1 teaspoon dried oregano; 8 bread bowls, for serving","Calories 200
Fat 3g
Carbs 38g
Fiber 7g
Sugar 8g
Protein 9g",https://tasty.co/recipe/hearty-protein-packed-chili
Homemade Apple Cider,79% WOULD MAKE AGAIN,Under 30 minutes,for 6 servings,"4 granny smith apples, sliced; 4 red delicious apples, sliced; 1 orange, sliced; 1 ½ tablespoons whole allspice; 1 ½ tablespoons whole clove; 3 cinnamon sticks; 8 cups water (1.9 L)","Calories 173
Fat 0g
Carbs 46g
Fiber 8g
Sugar 32g
Protein 1g",https://tasty.co/recipe/homemade-apple-cider
Tempeh Bacon,94% WOULD MAKE AGAIN,Under 30 minutes,for 2 servings,"4 oz tempeh (115 g), half a package; olive oil, to taste; 2 tablespoons soy sauce; 1 tablespoon maple syrup; ½ teaspoon liquid smoke, optional; ½ teaspoon garlic powder; black pepper, to taste","Calories 172
Fat 10g
Carbs 10g
Fiber 0g
Sugar 4g
Protein 12g",https://tasty.co/recipe/tempeh-bacon
Pasta Alla Norma,92% WOULD MAKE AGAIN,,for 6 servings,"1 medium eggplant; ½ teaspoon kosher salt, plus more to taste; ¼ cup olive oil (60 mL), divided; 3 cloves garlic, smashed; 56 oz whole peeled tomato (1.75 kg), drained and roughly chopped, juices reserved; ½ teaspoon red pepper flakes; 1 lb whole wheat spaghetti (455 g); ½ cup ricotta salata (125 g), crumbled; 1 bunch fresh basil, thinly sliced","Calories 446
Fat 6g
Carbs 72g
Fiber 9g
Sugar 5g
Protein 14g",https://tasty.co/recipe/pasta-alla-norma
Creamy Hot Cocoa,73% WOULD MAKE AGAIN,Under 30 minutes,for 4 servings,1 cup dark chocolate chip (175 g); 2 tablespoons maple syrup; ½ teaspoon vanilla extract; 1 pinch salt; 1 cup sweet potato puree (200 g); 2 ½ cups almond milk (600 mL),"Calories 255
Fat 13g
Carbs 43g
Fiber 3g
Sugar 31g
Protein 2g",https://tasty.co/recipe/creamy-hot-cocoa
Vegan Aquafaba Chocolate Ice Cream,83% WOULD MAKE AGAIN,"Total Time
6 hr 20 min
Prep Time
5 minutes
Cook Time
15 minutes",for 12 servings,"¼ cup coconut oil (60 mL); 1 cup full-fat coconut milk (240 mL), canned; ¼ cup cocoa powder (30 g); ¾ cup aquafaba (85 g), from 1 15-ounce (400 g) can of chickpeas; ½ teaspoon cream of tartar; 1 teaspoon vanilla extract; 1 cup powdered sugar (120 g), plus 2 tablespoons","Calories 138
Fat 8g
Carbs 16g
Fiber 1g
Sugar 13g
Protein 1g",https://tasty.co/recipe/vegan-aquafaba-chocolate-ice-cream
Cacao Chocolate Chip Nice Cream,88% WOULD MAKE AGAIN,Under 30 minutes,for 6 servings,3 ripe bananas; 2 ½ tablespoons organic cacao powder; 2 tablespoons cacao nibs; ⅓ cup almond milk (80 mL); 1 teaspoon agave,"Calories 95
Fat 1g
Carbs 22g
Fiber 3g
Sugar 11g
Protein 1g",https://tasty.co/recipe/cacao-chocolate-chip-nice-cream
Vegan Crab Cakes,91% WOULD MAKE AGAIN,,for 6 servings,"15 oz chickpeas (425 g), drained and rinsed, 1 can; 15 oz hearts of palm (425 g), drained, rinsed and cut into large chunks, 1 can; 15 oz artichoke heart (425 g), drained and rinsed; 1 ½ cups panko breadcrumbs (75 g), divided; ¾ cup vegan mayonnaise (170 g), divided; 1 teaspoon dijon mustard; 2 teaspoons lemon juice, divided; ¼ teaspoon salt; ¼ teaspoon pepper; 1 tablespoon old bay seasoning; oil, for frying; 1 tablespoon sweet pickle relish; fresh dill, to serve","Calories 466
Fat 27g
Carbs 41g
Fiber 11g
Sugar 5g
Protein 11g",https://tasty.co/recipe/vegan-crab-cakes
Miso Soup,95% WOULD MAKE AGAIN,Under 30 minutes,for 4 servings,7 oz tofu (200 g); ½ cup snow pea (75 g); 2 oz enoki mushroom (55 g); 1 ½ cups dashi (360 mL); 2 tablespoons miso,"Calories 128
Fat 3g
Carbs 16g
Fiber 1g
Sugar 2g
Protein 9g",https://tasty.co/recipe/miso-soup
Vegan Red Velvet Cupcakes With Cream Cheese Frosting,91% WOULD MAKE AGAIN,,for 12 cupcakes,"1 cup unsweetened almond milk (240 mL); 1 tablespoon lemon juice (15 g); 1 cup organic granulated sugar (150 g); ¼ cup refined coconut oil (50 g), solid; 1 ¾ cups all-purpose flour (220 g); ¼ cup unsweetened cocoa powder (30 g); 1 teaspoon baking soda (8 g); 1 teaspoon baking powder (4 g); ½ teaspoon salt (2.5 g); 1 teaspoon vanilla extract (5 g); 1 teaspoon apple cider vinegar (5 g); 4 teaspoons red food coloring (20 g), plus more for decorating; ⅓ cup unsweetened applesauce (85 g); ½ cup vegan butter (115 g); 1 cup vegan cream cheese (225 g); 2 cups powdered sugar (240 g); 1 teaspoon vanilla extract (5 g); 2 teaspoons lemon zest (10 g)","Calories 385
Fat 19g
Carbs 49g
Fiber 2g
Sugar 36g
Protein 4g",https://tasty.co/recipe/vegan-red-velvet-cupcakes-with-cream-cheese-frosting
Healthier Mac ‘n’ Cheese,81% WOULD MAKE AGAIN,,for 4 servings,"2 yellow potatoes, peeled and cubed; 1 medium carrot, sliced; 1 medium onion, peeled and quartered; ½ cup cashews (65 g); 1 teaspoon salt; 1 teaspoon pepper; 1 teaspoon garlic powder; 1 teaspoon onion powder; 2 tablespoons nutritional yeast; 1 lb whole wheat macaroni (455 g), cooked; paprika, optional","Calories 590
Fat 6g
Carbs 109g
Fiber 4g
Sugar 8g
Protein 19g",https://tasty.co/recipe/healthier-mac-n-cheese
Homemade Pickles 3-ways,98% WOULD MAKE AGAIN,Under 30 minutes,for 24 servings,"3 cucumbers, quartered lengthwise; 3 sprigs fresh dill; 1 clove garlic; 1 cup water (240 mL); ½ cup white vinegar (120 mL); 1 tablespoon salt; 1 tablespoon sugar; 1 tablespoon whole black pepper; 1 teaspoon caraway seed; 1 ½ teaspoons dill seed; 3 cucumbers, sliced ¼-inch (6.5mm) thick; red chili, sliced; ½ cup white vinegar (120 mL); ½ cup apple cider vinegar (120 mL); ¼ cup water (60 mL); 1 cup sugar (200 g); 1 tablespoon salt; 1 teaspoon whole black pepper; 1 teaspoon dry mustard; 3 cloves garlic; 1 teaspoon celery seed; ½ teaspoon turmeric; 3 cucumbers, quartered lengthwise; 1 jalapeño pepper, quartered; 1 garlic; 1 cup white vinegar (240 mL); ½ cup water (120 mL); 1 tablespoon salt; 1 teaspoon whole black pepper; 1 teaspoon red pepper flakes; 1 teaspoon caraway seed; ½ teaspoon dry mustard",,https://tasty.co/recipe/homemade-pickles-3-ways
The Best Vegan Vanilla Ice Cream,88% WOULD MAKE AGAIN,,for 8 servings,"3 cups cashews (390 g), ½ cup (65 g) if just making enough for the ice cream; ¼ cup water (60 mL); 1 ¼ cups organic sugar (250 g); 4 tablespoons cocoa butter; 4 tablespoons coconut oil; 1 teaspoon salt; 1 cup coconut milk (240 mL); 1 teaspoon vanilla extract; 1 vanilla bean; ice cream maker","Calories 462
Fat 36g
Carbs 30g
Fiber 1g
Sugar 21g
Protein 7g",https://tasty.co/recipe/the-best-vegan-vanilla-ice-cream
Diy Ketchup Ice Pops,22% WOULD MAKE AGAIN,"Total Time
4 hr 5 min
Prep Time
5 minutes
Cook Time
4 hr",for 6 ice pops,"¼ cup ketchup (60 mL); 2 cups tomato juice (480 mL); ½ lime; 1 teaspoon cayenne pepper hot sauce; 1 tablespoon tajin seasoning, optional","Calories 18
Fat 0g
Carbs 4g
Fiber 0g
Sugar 2g
Protein 0g",https://tasty.co/recipe/diy-ketchup-ice-pops
Microwaved Veggie Rice Bowl,88% WOULD MAKE AGAIN,,for 1 serving,"½ cup rice (100 g); 1 cup water (470 mL); 1 teaspoon olive oil; ¼ cup black beans (40 g); ¼ cup tomato (50 g), chopped; salt, to taste; pepper, to taste; ½ avocado, chopped; fresh cilantro, to serve","Calories 529
Fat 12g
Carbs 96g
Fiber 7g
Sugar 1g
Protein 10g",https://tasty.co/recipe/microwaved-veggie-rice-bowl
Vegan Mint Cookies,91% WOULD MAKE AGAIN,Under 30 minutes,for 5 servings,1 cup vegan chocolate chips (175 g); ½ teaspoon mint extract; 1 tablespoon vegetable shortening; 24 crackers,"Calories 279
Fat 21g
Carbs 24g
Fiber 46g
Sugar 11g
Protein 3g",https://tasty.co/recipe/vegan-mint-cookies
Garden Vegetable Vegan Quiche,94% WOULD MAKE AGAIN,"Total Time
1 hr 55 min
Prep Time
20 minutes
Cook Time
1 hr 35 min",for 8 servings,"¾ cup all purpose flour (95 g), plus more for dusting; ¾ cup whole wheat flour (95 g); ½ teaspoon kosher salt; 8 tablespoons vegan butter, cubed and chilled; ¼ cup cold water (60 mL), plus more a needed; 1 tablespoon olive oil; 2 cups mushroom (150 g), thinly sliced; 1 cup leek (90 g); 1 teaspoon kosher salt, divided; 1 teaspoon black pepper, divided; 1 cup cherry tomato (200 g); 4 cups fresh spinach (160 g); 1 package silken tofu; 2 tablespoons nutritional yeast; ½ teaspoon black salt, optional; ½ teaspoon garlic powder; ½ teaspoon paprika; ¼ teaspoon ground turmeric; ⅛ teaspoon cayenne pepper; dried chickpea, for baking","Calories 268
Fat 15g
Carbs 26g
Fiber 3g
Sugar 2g
Protein 7g",https://tasty.co/recipe/garden-vegetable-vegan-quiche
Fresh Corn Salad,94% WOULD MAKE AGAIN,"Total Time
40 minutes
Prep Time
10 minutes
Cook Time
30 minutes",for 2 servings,"¼ red onion, thinly sliced; 2 tablespoons olive oil, plus more for drizzling; 1 lemon, juiced; 1 teaspoon kosher salt, plus more to taste; 1 tablespoon sugar; 2 ears corn, husked; 1 roma tomato, diced; 1 avocado, diced; freshly ground black pepper, to taste","Calories 315
Fat 16g
Carbs 42g
Fiber 9g
Sugar 12g
Protein 6g",https://tasty.co/recipe/fresh-corn-salad
Cool Ranch Popcorn,87% WOULD MAKE AGAIN,"Total Time
20 minutes
Prep Time
5 minutes
Cook Time
15 minutes",for 4 servings,2 tablespoons dry ranch dressing mix; 1 teaspoon paprika; ½ teaspoon garlic powder; ½ teaspoon onion powder; 1 teaspoon kosher salt; 1 ½ tablespoons coconut oil; ⅓ cup corn kernel (55 g); 2 tablespoons olive oil,"Calories 73
Fat 5g
Carbs 5g
Fiber 27g
Sugar 0g
Protein 0g",https://tasty.co/recipe/cool-ranch-popcorn
Scallion Pizza Dough Pancake,86% WOULD MAKE AGAIN,Under 30 minutes,for 4 pancakes,"pizza dough; scallion; sesame oil; salt, to taste; white pepper, to taste; ⅓ cup soy sauce (80 mL); 2 tablespoons rice vinegar; 1 teaspoon sriracha sauce; 1 tablespoon garlic; 1 tablespoon ginger; 1 tablespoon sugar; scallion, chopped","Calories 91
Fat 6g
Carbs 6g
Fiber 0g
Sugar 5g
Protein 1g",https://tasty.co/recipe/scallion-pizza-dough-pancake
