,likes,time,servings,ingredients,nutritions,link
Maple Cinnamon Roasted Chickpeas,70% WOULD MAKE AGAIN,Under 30 minutes,for 4 servings,"15 oz chickpeas (400 g), 1 can, drained and rinsed; 1 tablespoon olive oil; 2 tablespoons cinnamon; ¼ teaspoon sea salt; 2 tablespoons maple syrup","Calories 204
Fat 3g
Carbs 34g
Fiber 9g
Sugar 9g
Protein 9g",https://tasty.co/recipe/maple-cinnamon-roasted-chickpeas
Lebanese Batata Maqlieh,90% WOULD MAKE AGAIN,Under 30 minutes,for 4 servings,"1 cup garlic cloves (135 g), peeled; ½ tablespoon sea salt; 1 cup extra virgin olive oil (240 mL); 4 tablespoons lemon juice; 1 lb french fries (455 g), cooked, hot; fresh parsley, chopped, for garnish","Calories 272
Fat 18g
Carbs 25g
Fiber 2g
Sugar 1g
Protein 3g",https://tasty.co/recipe/lebanese-batata-maqlieh
No-Bake Granola Berry Pie,89% WOULD MAKE AGAIN,,for 6 servings,"5 cups granola (600 g); ¾ cup coconut oil (180 g), melted; 1 tablespoon coconut oil, solid; 1 cup strawberry (150 g), sliced, plus more for garnish; 1 cup blackberry (150 g); 1 cup raspberry (125 g), plus more for garnish; 1 cup blueberry (100 g); ½ cup organic sugar (100 g); ½ cup water (120 mL), + 3 tablespoons, divided; 2 tablespoons lemon juice; 3 tablespoons cornstarch","Calories 847
Fat 52g
Carbs 80g
Fiber 11g
Sugar 39g
Protein 14g",https://tasty.co/recipe/no-bake-granola-berry-pie
Easy-As-Pie Antioxidant Wellness Shot,89% WOULD MAKE AGAIN,Under 30 minutes,for 4 shots,"½ cup apple cider vinegar (120 mL); ½ cup filtered water (120 mL); 1 piece fresh ginger, 1 inch (2.5 cm) peeled; 1 tablespoon honey; ¼ teaspoon Ceylon Cinnamon","Calories 23
Fat 0g
Carbs 4g
Fiber 0g
Sugar 3g
Protein 0g",https://tasty.co/recipe/easy-as-pie-antioxidant-wellness-shot
Immunity Boosting Green Soup,87% WOULD MAKE AGAIN,Under 30 minutes,for 8 servings,"2 tablespoons olive oil; 8 cloves garlic, minced; fresh ginger, peeled and sliced 3 inches (7cm); 4 scallions, chopped; 3 tablespoons fresh oregano leaf; 1 cup fresh parsley (35 g), plus more for serving; ¼ teaspoon cayenne; 1 teaspoon ground turmeric; ½ teaspoon black pepper; 2 tablespoons low sodium soy sauce; 4 cups broccoli florets (600 g), tough stems trimmed; 6 cups chicken stock (1.5 L), or vegetable stock; 4 cups swiss chard (145 g), loosely packed, thick stems trimmed, roughly chopped; 1 lb baby spinach (455 g); 1 avocado, ripe, diced; ¼ cup lemon juice (60 mL); kosher salt, to taste; pumpkin seed, toasted, for garnish","Calories 143
Fat 6g
Carbs 21g
Fiber 7g
Sugar 5g
Protein 10g",https://tasty.co/recipe/immunity-boosting-green-soup
Arugula Pesto,91% WOULD MAKE AGAIN,Under 30 minutes,for 6 servings,"4 cups fresh arugula (80 g), packed; ⅓ cup walnuts (35 g); 2 cloves garlic; 1 tablespoon lemon juice; 2 tablespoons water; ¾ teaspoon salt; ⅓ cup olive oil (80 g)","Calories 75
Fat 7g
Carbs 1g
Fiber 0g
Sugar 0g
Protein 1g",https://tasty.co/recipe/arugula-pesto
Chocolate Brownie Dip,70% WOULD MAKE AGAIN,Under 30 minutes,for 4 servings,"1 can chickpeas, drained and rinsed; ⅓ cup maple syrup (70 g); ¼ cup milk (60 mL), milk of choice; 2 teaspoons vanilla extract; 2 tablespoons dark cocoa powder; 2 tablespoons shredded coconut, to serve","Calories 239
Fat 4g
Carbs 41g
Fiber 8g
Sugar 17g
Protein 9g",https://tasty.co/recipe/chocolate-brownie-dip
Cool Ranch Chips,80% WOULD MAKE AGAIN,Under 30 minutes,for 2 servings,3 gold potatoes; 1 tablespoon cooking oil; 1 packet ranch dressing mix; ¼ cup chives (10 g); 1 teaspoon salt; 1 teaspoon pepper,,https://tasty.co/recipe/cool-ranch-chips
Easy Low-Flour Cast Iron Focaccia Bread,95% WOULD MAKE AGAIN,"Total Time
1 hr 45 min
Prep Time
20 minutes
Cook Time
25 minutes",for 4 servings,"¾ cup water (180 mL), lukewarm; 1 ¼ oz active dry yeast (35 g); 1 ½ cups all purpose flour (185 g), plus more for dusting; 1 teaspoon kosher salt; 5 tablespoons extra virgin olive oil, divided, plus more for dipping; 1 teaspoon dried rosemary; ½ teaspoon dried parsley; ⅛ teaspoon red pepper flakes, optional; balsamic vinegar, for dipping","Calories 194
Fat 5g
Carbs 30g
Fiber 1g
Sugar 0g
Protein 6g",https://tasty.co/recipe/easy-low-flour-cast-iron-focaccia-bread
Classic French Fries,91% WOULD MAKE AGAIN,"Total Time
25 minutes
Prep Time
5 minutes
Cook Time
10 minutes",for 1 serving,"canola oil, for frying; 1 large idaho potato; kosher salt, to taste; freshly ground black pepper, to taste","Calories 263
Fat 3g
Carbs 54g
Fiber 4g
Sugar 2g
Protein 5g",https://tasty.co/recipe/classic-french-fries
Vegan Egg,24% WOULD MAKE AGAIN,"Total Time
4 hr 25 min
Prep Time
10 minutes
Cook Time
1 hr 15 min",for 12 eggs,"1 cup kabocha squash (125 g), steamed and mashed; 3 tablespoons canola oil; 12 tablespoons filtered water, cold, divided; 1 teaspoon kala namak, Himalayan black salt; ½ teaspoon kosher salt; 1 tablespoon cornstarch; 8 oz silken tofu (225 g), tofu; 3 tablespoons rice flour; 3 tablespoons filtered water, cold; ½ teaspoon kala namak, Himalayan black salt; 2 tablespoons full-fat coconut milk; 4 tablespoons canola oil, divided, for frying; kosher salt, to taste; black pepper, freshly ground, to taste","Calories 40
Fat 1g
Carbs 4g
Fiber 0g
Sugar 0g
Protein 1g",https://tasty.co/recipe/vegan-egg
Green Goddess Smoothie,86% WOULD MAKE AGAIN,,for 1 serving,"1 cup unsweetened almond milk (240 mL); 1 cup frozen pineapple (245 g); 1 banana, sliced; ½ cup frozen peas (75 g); 2 tablespoons pumpkin seeds; 1 cup kale (100 g), chopped","Calories 610
Fat 10g
Carbs 164g
Fiber 15g
Sugar 44g
Protein 15g",https://tasty.co/recipe/green-goddess-smoothie
Dairy-Free Chocolate Coconut Espresso Panna Cotta,90% WOULD MAKE AGAIN,Under 30 minutes,for 4 servings,"coconut oil, for greasing; 1 ½ oz dark chocolate (40 g), chopped; 2 cups coconut cream (600 g); ¼ cup organic cane sugar (50 g); 1 teaspoon instant espresso; ¼ cup hot water (60 mL); ½ teaspoon agar agar; shaved dark chocolate, for garnish; 2 tablespoons espresso beans, for garnish","Calories 520
Fat 50g
Carbs 21g
Fiber 0g
Sugar 71g
Protein 4g",https://tasty.co/recipe/dairy-free-chocolate-coconut-espresso-panna-cotta
Vegan Ranch Dip,95% WOULD MAKE AGAIN,Under 30 minutes,for 6 servings,"1 ½ cups vegan mayo (345 g); 3 tablespoons unsweetened non-dairy milk; 2 teaspoons garlic powder; 1 teaspoon onion powder; ½ teaspoon kosher salt; ¼ teaspoon freshly ground black pepper; ¼ teaspoon paprika; 1 tablespoon apple cider vinegar; 1 teaspoon lemon juice; 2 teaspoons finely chopped fresh parsley, plus more for garnish; 1 teaspoon chopped fresh dill, plus more for garnish","Calories 241
Fat 23g
Carbs 1g
Fiber 0g
Sugar 0g
Protein 0g",https://tasty.co/recipe/vegan-ranch-dip
Sweet Potato Breakfast Bars,87% WOULD MAKE AGAIN,Under 30 minutes,for 9 servings,1 ½ cups mashed sweet potato (375 g); 5 tablespoons almond butter; ⅓ cup maple syrup (110 g); ½ teaspoon vanilla extract; 2 ¼ cups rolled oats (180 g); ½ teaspoon cinnamon; ½ teaspoon ground nutmeg; ⅓ cup slivered almond (25 g); ⅓ cup shredded coconut (35 g),"Calories 255
Fat 10g
Carbs 35g
Fiber 5g
Sugar 8g
Protein 7g",https://tasty.co/recipe/sweet-potato-breakfast-bars
Chocolate Peanut Butter Frozen Banana,86% WOULD MAKE AGAIN,Under 30 minutes,for 20 servings,"10 bananas finger banana, 1 bushel; 1 cup creamy peanut butter (240 g); 1 cup mini chocolate chips (175 g); 20 popsicle sticks","Calories 70
Fat 5g
Carbs 5g
Fiber 0g
Sugar 3g
Protein 1g",https://tasty.co/recipe/chocolate-peanut-butter-frozen-banana-1
Decadent Dairy-Free Carrot Cake,87% WOULD MAKE AGAIN,,for 10 servings,"4 cups raw cashew (520 g); hot water; 15 oz full-fat coconut milk (425 mL), cream from the top of the can; ½ cup powdered sugar (60 g); 1 cup maple syrup (335 g); ¾ cup coconut oil (180 g), melted; 3 tablespoons lemon juice; 1 tablespoon vanilla extract; ½ tablespoon apple cider vinegar; 1 pinch salt; 3 ½ cups flour (435 g), of choice, we used whole wheat; 1 cup brown sugar (220 g); 1 tablespoon baking soda; 1 ½ tablespoons baking powder; 1 tablespoon cinnamon; 2 teaspoons nutmeg; 1 pinch salt; 3 cups almond milk (720 mL); ¾ cup coconut oil (180 g), melted; 1 cup unsweetened applesauce (255 g); ¾ cup maple syrup (250 g); 1 tablespoon vanilla extract; 1 tablespoon apple cider vinegar; 2 cups carrot (220 g), finely grated; 1 cup raisin (150 g), optional; 1 carrot, for garnish; ½ cup walnuts (50 g), chopped, for garnish","Calories 1051
Fat 61g
Carbs 117g
Fiber 6g
Sugar 63g
Protein 14g",https://tasty.co/recipe/decadent-dairy-free-carrot-cake
Crispy Pan-Fried Breakfast Potatoes,98% WOULD MAKE AGAIN,Under 30 minutes,for 2 servings,"¼ teaspoon salt; ¼ teaspoon pepper; ¼ teaspoon chili powder; ¼ teaspoon sugar, (can use alternative such as coconut sugar); ½ teaspoon onion powder; ½ teaspoon garlic powder; ½ teaspoon paprika; 3 tablespoons olive oil, extra virgin; 2 medium potatoes, diced; 1 tablespoon spinach, chopped","Calories 174
Fat 5g
Carbs 28g
Fiber 2g
Sugar 1g
Protein 2g",https://tasty.co/recipe/crispy-pan-fried-breakfast-potatoes
Oatmeal Raisin Energy Balls,96% WOULD MAKE AGAIN,Under 30 minutes,for 12 balls,"½ cup almond flour (50 g); 1 ½ cups pitted date (255 g), chopped; 1 cup raisin (150 g); ⅓ cup almond butter (80 g); 1 ½ teaspoons ground cinnamon; 1 teaspoon vanilla extract; ¼ teaspoon salt; 1 cup rolled oats (100 g)","Calories 194
Fat 7g
Carbs 30g
Fiber 4g
Sugar 16g
Protein 4g",https://tasty.co/recipe/oatmeal-raisin-energy-balls
Shiitake Mushroom Bacon,96% WOULD MAKE AGAIN,Under 30 minutes,for 2 servings,"3 ½ oz shiitake mushroom (100 g), thinly sliced; ½ teaspoon soy sauce; salt, to taste; pepper, to taste; 3 tablespoons olive oil","Calories 64
Fat 5g
Carbs 2g
Fiber 1g
Sugar 1g
Protein 1g",https://tasty.co/recipe/shiitake-mushroom-bacon
Barbeque Sauce,93% WOULD MAKE AGAIN,Under 30 minutes,for 1 cup,1 cup ketchup (240 g); 2 tablespoons worcestershire sauce; 3 tablespoons apple cider vinegar; 1 tablespoon dijon mustard; ⅓ cup light brown sugar (75 g); 2 tablespoons molasses; 1 teaspoon paprika; 1 teaspoon garlic powder; ¼ teaspoon cayenne pepper,"Calories 362
Fat 1g
Carbs 87g
Fiber 3g
Sugar 78g
Protein 3g",https://tasty.co/recipe/barbeque-sauce
Vegan Buffalo Chickpea Dip,95% WOULD MAKE AGAIN,,for 8 servings,"15 oz cannellini bean (425 g), 1 can, drained and rinsed; 1 cup raw cashew (130 g); ¾ cup hot sauce (180 mL); ½ cup non-dairy milk (120 mL); ½ lemon, juiced; 1 tablespoon nutritional yeast; 1 teaspoon paprika; ½ teaspoon onion powder; ½ teaspoon garlic powder; 1 teaspoon salt; ½ teaspoon pepper; 15 oz chickpeas (425 g), 1 can, drained and rinsed; 1 cup shredded vegan cheddar cheese (100 g); fresh scallion, for garnish; fresh parsley, for garnish","Calories 287
Fat 13g
Carbs 30g
Fiber 8g
Sugar 3g
Protein 10g",https://tasty.co/recipe/vegan-buffalo-chickpea-dip
Vegan Honeycomb Toffee,78% WOULD MAKE AGAIN,,for 5 servings,2 cups sugar (400 g); ½ cup light corn syrup (110 g); ⅓ cup water (80 mL); 1 tablespoon baking soda; 2 cups dark chocolate (340 g); 1 cup sea salt (240 g); candy thermometer,"Calories 553
Fat 22g
Carbs 96g
Fiber 3g
Sugar 90g
Protein 2g",https://tasty.co/recipe/vegan-honeycomb-toffee
Quinoa Fruit Salad,93% WOULD MAKE AGAIN,Under 30 minutes,for 1 serving,"¼ cup lemon juice (60 mL); 1 tablespoon agave; ¼ cup water (60 mL); ¾ cup orange juice (180 mL); ¼ cup quinoa (40 g), uncooked; ½ cup blueberry (50 g); ½ cup strawberry (75 g), sliced; ½ cup banana (115 g), sliced; ½ cup blackberry (75 g)","Calories 527
Fat 3g
Carbs 119g
Fiber 13g
Sugar 63g
Protein 10g",https://tasty.co/recipe/quinoa-fruit-salad
50-Minute Donuts,81% WOULD MAKE AGAIN,,for 12 donuts,"6 slices bacon; 1 cup cake flour (125 g); ⅛ teaspoon baking soda; ¾ teaspoon baking powder; ¼ teaspoon kosher salt; ½ cup whole milk (120 mL), plus 2 tablespoons; 1 teaspoon vanilla extract; ¾ cup granulated sugar (150 g); 2 tablespoons unsalted butter, softened; 2 tablespoons vegetable oil; 1 large egg; nonstick cooking spray, for greasing; 2 tablespoons turbinado sugar, for sprinkling; 2 cups powdered sugar (220 g); 3 tablespoons whole milk; 4 tablespoons maple syrup; kosher salt","Calories 246
Fat 5g
Carbs 47g
Fiber 0g
Sugar 37g
Protein 2g",https://tasty.co/recipe/50-minute-donuts
Vegan Chorizo,92% WOULD MAKE AGAIN,"Total Time
30 minutes
Prep Time
10 minutes
Cook Time
20 minutes",for 6 servings,"3 cups mushroom (225 g), stemmed and halved button; 1 cup white onion (150 g), diced; 1 cup walnuts (100 g); 1 can chickpeas, drained; ½ jalapeño, seeded and roughly chopped; 4 cloves garlic, roughly chopped; 2 tablespoons olive oil; 2 tablespoons paprika; 1 teaspoon garlic powder; 2 teaspoons cumin; 2 teaspoons oregano; 2 teaspoons kosher salt; ½ teaspoon smoked paprika; ½ teaspoon ground coriander; ½ teaspoon chili powder; ½ teaspoon black pepper; ½ teaspoon onion; ¼ teaspoon red pepper flakes; ⅛ teaspoon cinnamon; 1 tablespoon tomato paste; 1 tablespoon apple cider vinegar; 1 tablespoon soy sauce","Calories 267
Fat 16g
Carbs 24g
Fiber 7g
Sugar 5g
Protein 10g",https://tasty.co/recipe/vegan-chorizo
Chickpea Flour Omelet,85% WOULD MAKE AGAIN,Under 30 minutes,for 2 servings,"olive oil, for cooking; ½ cup cremini mushroom (35 g), sliced; ½ cup cherry tomatoes (100 g), halved; salt, to taste; pepper, to taste; 1 clove garlic, minced; 2 cups fresh spinach (80 g); ¾ cup chickpea flour (90 g); 1 ½ tablespoons nutritional yeast; ½ teaspoon baking soda; ½ teaspoon garlic powder; ¼ teaspoon turmeric; ¼ teaspoon salt; ⅛ teaspoon pepper; ⅛ teaspoon black salt, kala namak, optional; 1 teaspoon apple cider vinegar; ¾ cup unsweetened almond milk (180 mL); fresh cilantro, for serving; salsa, for serving","Calories 316
Fat 9g
Carbs 42g
Fiber 9g
Sugar 8g
Protein 17g",https://tasty.co/recipe/chickpea-flour-omelet
Futuristic Pancakes,71% WOULD MAKE AGAIN,30 minutes,for 2 SERVINGS,"4 ½ cups cold filtered water (1000 g); 1 teaspoon sodium alginate powder (5 g); 8 oz fresh blueberry (225 g); 2 tablespoons granulated sugar, divided; 8 oz fresh strawberry (225 g), steemed and quartered; 1 teaspoon calcium lactate powder (4 g); 1 drop blue gel food coloring; 1 drop red gel food coloring; ¾ cup pure maple syrup (200 g); 1 teaspoon calcium lactate powder (4 g); 1 teaspoon xanthan gum (1 g); 1 batch Tasty's lemon ricotta pancakes, without blueberry compote","Calories 370
Fat 0g
Carbs 93g
Fiber 6g
Sugar 78g
Protein 1g",https://tasty.co/recipe/futuristic-pancakes
Easy Pantry Hummus,91% WOULD MAKE AGAIN,"Total Time
10 minutes
Prep Time
5 minutes
Cook Time
5 minutes",for 4 servings,"15 oz garbanzo beans (425 g); ½ teaspoon kosher salt; ½ teaspoon ground cumin; 1 clove garlic, minced; 2 tablespoons lemon juice; ¼ cup water (60 mL); 2 tablespoons olive oil, plus more for garnish; paprika, for garnish; chips, crackers, and/or vegetable, for serving","Calories 191
Fat 4g
Carbs 29g
Fiber 8g
Sugar 5g
Protein 9g",https://tasty.co/recipe/easy-pantry-hummus
Probiotic Power Smoothie,94% WOULD MAKE AGAIN,,for 4 servings,"1 cup Chobani® Non-Fat Plain Greek Yogurt (240 g); 1 cup fresh orange juice (240 mL); 1 cup frozen mango (150 g); 2 teaspoons fresh ginger, grated; 1 banana; 1 cup ice (170 g); 2 tablespoons honey; ½ teaspoon ground turmeric; ⅛ teaspoon kosher salt; 4 slices orange, for garnish","Calories 189
Fat 0g
Carbs 42g
Fiber 4g
Sugar 34g
Protein 7g",https://tasty.co/recipe/probiotic-power-smoothie
Apple Cinnamon Instant Oatmeal,90% WOULD MAKE AGAIN,,for 1 serving,"½ cup instant oatmeal (50 g); 3 tablespoons freeze-dried apple, chopped; 1 tablespoon pecan, chopped; 1 tablespoon cinnamon; ⅛ teaspoon vanilla bean; 2 teaspoons sugar, of choice; ¾ cup water (175 mL), or milk, boiled","Calories 322
Fat 4g
Carbs 61g
Fiber 9g
Sugar 10g
Protein 9g",https://tasty.co/recipe/apple-cinnamon-instant-oatmeal
Cowboy Caviar,83% WOULD MAKE AGAIN,15 minutes,for 8 servings,"1 can black beans, drained and rinsed (15 ounce); 1 can great northern beans, drained and rinsed (15 ounce); 1 can yellow corn, drained and rinsed (15 ounce); ½ medium red onion, diced; 1 orange bell pepper, seeded and diced; 1 green bell pepper, seeded and diced; 2 roma tomatoes, diced; 1 jalapeño, seeded and diced; ½ cup fresh cilantro (20 g), chopped; 1 tablespoon fresh chives, chopped; 1 avocado, pitted and diced; ¼ cup olive oil (60 mL); 2 tablespoons red wine vinegar; 1 lime, juiced; 1 tablespoon hot honey; 1 teaspoon garlic powder; 1 teaspoon ground cumin; kosher salt, to taste; freshly ground black pepper, to taste; chip, for serving (optional)","Calories 136
Fat 5g
Carbs 17g
Fiber 6g
Sugar 4g
Protein 4g",https://tasty.co/recipe/cowboy-caviar
Roasted Summer Veggies Meal Prep,97% WOULD MAKE AGAIN,,for 4 servings,"2 zucchinis, skin on, cut into 3/4 inch (2 cm) cubes; 2 eggplants, skin on, cut into 3/4 inch (2 cm) cubes; 1 yellow onion, thinly sliced; 3 cloves garlic, minced; ¼ cup extra virgin olive oil (60 mL); 2 teaspoons kosher salt; 7 roma tomatoes","Calories 188
Fat 4g
Carbs 36g
Fiber 9g
Sugar 15g
Protein 4g",https://tasty.co/recipe/roasted-summer-veggies-meal-prep
Hearty Rice Noodle Soup,90% WOULD MAKE AGAIN,"Total Time
25 minutes
Prep Time
10 minutes
Cook Time
5 minutes",for 1 serving,"2 ½ cups vegetable stock (600 mL), or water; ¼ cup white onion (40 g), thinly sliced; 1 tablespoon jalapeño, thinly sliced; 1 tablespoon fresh cilantro, minced, plus more for garnish; 1 tablespoon Tasty Hearty Spice Blend; low sodium soy sauce; 1 oz vermicelli rice noodle (28 g); ½ cup small zucchini (75 g), cut into ribbons; ½ cup small carrot (60 g), peeled, cut into ribbons; 4 oz firm tofu (115 g), cubed","Calories 238
Fat 6g
Carbs 33g
Fiber 4g
Sugar 5g
Protein 14g",https://tasty.co/recipe/hearty-rice-noodle-soup
Bone Broth Ramen,84% WOULD MAKE AGAIN,"Total Time
20 minutes
Prep Time
5 minutes
Cook Time
15 minutes",for 1 Servings,"1.5 cups water (360 mL); 1 cup frozen vegetable (150 g); 1 package instant ramen; ¼ cup bone broth (60 mL), or as desired; 1 tablespoon McCormick® Everything Bagel All Purpose Seasoning, garnish","Calories 475
Fat 15g
Carbs 70g
Fiber 16g
Sugar 6g
Protein 11g",https://tasty.co/recipe/bone-broth-ramen
Smoky Spiced Carrot Rice,92% WOULD MAKE AGAIN,Under 30 minutes,for 2 servings,"1 bunch carrot, peeled and sliced; 1 tablespoon cooking oil, of preference, or water; ½ white onion, diced; ½ teaspoon salt; ½ teaspoon pepper; ½ teaspoon garlic powder; 1 teaspoon smoked paprika; fresh parsley, for garnish","Calories 121
Fat 7g
Carbs 12g
Fiber 2g
Sugar 5g
Protein 1g",https://tasty.co/recipe/smoky-spiced-carrot-rice
Mango Smoothie With Boba,91% WOULD MAKE AGAIN,5 minutes,for 1 serving,"245 g frozen mango (245 g); ¾ cup water (180 mL), plus more as needed; 3 tablespoons sweetened condensed milk; ⅓ cup Tasty's Boba Pearls and Brown Syrup (50 g); wide opening straw","Calories 340
Fat 4g
Carbs 64g
Fiber 2g
Sugar 24g
Protein 10g",https://tasty.co/recipe/mango-smoothie-with-boba
How To Make Vegan Pho,76% WOULD MAKE AGAIN,,for 6 servings,"20 dried shiitake mushrooms; 4 medium white onions, tops and bottoms cut off, peeled, halved crosswise; 1 large daikon radish, peeled and cut into 1-inch- (2 1/4-cm) thick rounds; 1 6-inch piece of fresh ginger, peeled, sliced into coins; 1 tablespoon neutral oil; 3 cups oyster mushrooms (225 g), sliced into 2-inch (5-cm) pieces; 12 cups water (2.8 L); kosher salt, to taste; 1 cinnamon stick, or piece of cassia bark; 1 teaspoon whole cloves; 5 cardamom pods; 5 star anises; 1 tablespoon coriander seed; 1 teaspoon fennel seeds; 14 oz soft tofu (400 g), drained and sliced into 1-inch (2-cm) pieces, or fried tofu, sliced; cooked rice stick noodle; sliced red onion; 1 cup bean sprouts (100 g), washed well; 1 thinly sliced chile pepper; Lime wedge; fresh cilantro leaf","Calories 234
Fat 5g
Carbs 39g
Fiber 8g
Sugar 15g
Protein 11g",https://tasty.co/recipe/how-to-make-vegan-pho
