,likes,time,servings,ingredients,nutritions,link
Vegan Chocolate Chip Cookies,88% WOULD MAKE AGAIN,Under 30 minutes,for 10 servings,"½ cup sugar (100 g); ¾ cup dark brown sugar (165 g), packed; 1 teaspoon salt; ½ cup refined coconut oil (120 g), melted; ¼ cup non-dairy milk (60 mL); 1 teaspoon vanilla extract; 1 ½ cups flour (185 g); ½ teaspoon baking soda; 4 oz vegan semi-sweet chocolate (115 g), chunks; 4 oz vegan dark chocolate (115 g), chunks","Calories 335
Fat 20g
Carbs 38g
Fiber 2g
Sugar 24g
Protein 2g",https://tasty.co/recipe/vegan-chocolate-chip-cookies
Avocado Quinoa Power Salad,95% WOULD MAKE AGAIN,Under 30 minutes,for 6 servings,"2 cups water (480 mL); salt, to taste; 1 cup quinoa (170 g), rinsed; 2 cups fresh spinach (80 g), roughly chopped; 1 large cucumber, diced; 4 roma tomatoes, diced; 2 ripe avocados, pits removed and diced; 1 lemon, juiced; 4 tablespoons extra virgin olive oil; pepper, to taste","Calories 221
Fat 11g
Carbs 25g
Fiber 6g
Sugar 1g
Protein 5g",https://tasty.co/recipe/avocado-quinoa-power-salad
Peanut Butter Oat Energy Balls,97% WOULD MAKE AGAIN,Under 30 minutes,for 6 servings,"½ cup rolled oats (40 g); ⅓ cup peanut butter (80 g); 1 tablespoon honey; 1 tablespoon dark chocolate chip, optional; salt, to taste","Calories 87
Fat 3g
Carbs 12g
Fiber 1g
Sugar 3g
Protein 2g",https://tasty.co/recipe/peanut-butter-oat-energy-balls
3-Ingredient Breakfast Cookies,89% WOULD MAKE AGAIN,Under 30 minutes,for 8 cookies,"1 cup oats (100 g); 2 bananas; mix-in of choice, such as sliced almonds, shredded coconut, crushed chocolate sandwich cookies, chopped walnuts, chocolate chips, or peanut butter","Calories 102
Fat 1g
Carbs 21g
Fiber 2g
Sugar 4g
Protein 2g",https://tasty.co/recipe/3-ingredient-breakfast-cookies
Southwestern-Style Quinoa Salad,98% WOULD MAKE AGAIN,,for 2 servings,"2 tablespoons vegetable oil; 3 cloves garlic, minced; 1 jalapeño, minced; 15 oz black beans (425 g); 15 oz corn (425 g); 3 roma tomatoes, diced; 1 cup quinoa (170 g), rinsed; 2 cups vegetable stock (480 mL); 1 tablespoon chili powder; 2 teaspoons cumin; 1 teaspoon salt; 1 teaspoon pepper; 1 avocado, cubed; 1 lime, juiced; fresh cilantro, to garnish","Calories 992
Fat 36g
Carbs 147g
Fiber 32g
Sugar 12g
Protein 34g",https://tasty.co/recipe/southwestern-style-quinoa-salad
Curry Noodle Soup,94% WOULD MAKE AGAIN,Under 30 minutes,for 6 servings,"2 tablespoons refined coconut oil; 3 cloves garlic, minced; 1 tablespoon minced fresh ginger; 2 ½ tablespoons red curry paste; 15 oz coconut milk (440 mL); 3 cups vegetable broth (720 mL); 1 tablespoon agave; 8 oz rice noodles (225 g); 7 oz tofu (200 g), cubed; 2 cups broccoli florets (300 g); 1 red bell pepper, thinly sliced; 1 tablespoon lime juice; kosher salt, to taste; chopped fresh cilantro, for garnish","Calories 387
Fat 19g
Carbs 47g
Fiber 5g
Sugar 9g
Protein 9g",https://tasty.co/recipe/curry-noodle-soup
Chickpea Sweet Potato Stew,97% WOULD MAKE AGAIN,Under 30 minutes,for 4 servings,"2 tablespoons refined coconut oil; 1 small onion, diced; 3 cloves garlic, minced; 1 teaspoon ginger, minced; 1 tablespoon sweet paprika; ½ teaspoon cumin; ¼ teaspoon dried coriander; ⅛ teaspoon cayenne; 15 oz canned chickpeas (425 g), drained and rinsed; 2 cups peeled and diced sweet potatoes (400 g); 15 oz canned fire-roasted crushed tomatoes (425 g); 3 cups vegetable broth (720 mL); 5 oz fresh spinach (140 g)","Calories 411
Fat 9g
Carbs 67g
Fiber 13g
Sugar 20g
Protein 14g",https://tasty.co/recipe/chickpea-sweet-potato-stew
Penne With Tomato Sauce,94% WOULD MAKE AGAIN,Under 30 minutes,for 4 servings,"2 tablespoons olive oil; ½ medium onion, finely diced; ½ teaspoon red chili flakes; 1 clove garlic, minced; 14 oz crushed tomato (395 g), 1 can; salt, to taste; ½ lb penne pasta (225 g)","Calories 154
Fat 2g
Carbs 28g
Fiber 3g
Sugar 6g
Protein 5g",https://tasty.co/recipe/penne-with-tomato-sauce
Easy Chickpea Curry (Channa Masala),97% WOULD MAKE AGAIN,,for 4 servings,"1 tablespoon olive oil; 1 large yellow onion, diced; 2 cloves garlic, minced; 1 tablespoon grated fresh ginger; 1 green chile, or jalapeño, seeded and finely chopped; 2 tablespoons garam masala; 1 teaspoon turmeric; 1 teaspoon kosher salt; 1 teaspoon freshly ground black pepper; 2 cups diced tomatoes (400 g); 30 oz chickpeas (425 g), drained and rinsed; ½ cup water (120 mL); ½ lemon, juiced; ¼ cup chopped fresh cilantro (10 g), chopped; cooked basmati rice, for serving (optional); naan bread, for serving (optional)","Calories 416
Fat 7g
Carbs 70g
Fiber 19g
Sugar 15g
Protein 21g",https://tasty.co/recipe/easy-chickpea-curry-channa-masala
Vegetable Dumpling Soup,95% WOULD MAKE AGAIN,,for 6 servings,"1 cup flour (125 g); 1 teaspoon baking powder; ½ teaspoon salt; 4 tablespoons olive oil, divided; ½ cup warm water (120 mL); 1 onion, diced; 2 carrots, diced; 2 cloves garlic, minced; 1 teaspoon dried dill; ½ teaspoon dried sage; ½ teaspoon dried thyme; ½ teaspoon pepper; 2 cups potato (400 g), diced; 6 cups vegetable broth (1 L); 2 dried bay leaves; finely chopped fresh parsley, for garnish","Calories 195
Fat 2g
Carbs 38g
Fiber 3g
Sugar 4g
Protein 4g",https://tasty.co/recipe/vegetable-dumpling-soup
The Best Ever Vegan Cinnamon Rolls,98% WOULD MAKE AGAIN,,for 8 servings,"2 tablespoons vegan butter, to coat the foil pan; 2 cups almond milk (480 mL), at room temperature; ½ cup vegan butter (115 g), melted; ¼ cup organic sugar (50 g); 1 packet active dry yeast; 5 ½ cups flour (690 g), divided; 1 teaspoon salt; ¾ cup vegan butter (170 g); ¾ cup brown sugar (165 g); 2 tablespoons ground cinnamon; 1 cup powdered sugar (160 g); 2 tablespoons almond milk; ½ teaspoon vanilla extract","Calories 791
Fat 36g
Carbs 104g
Fiber 3g
Sugar 35g
Protein 9g",https://tasty.co/recipe/the-best-ever-vegan-cinnamon-rolls
Cinnamon Roll Pancakes With Chloe Coscarelli,87% WOULD MAKE AGAIN,Under 30 minutes,for 2 pancakes,"1 cup all-purpose flour (125 g); 2 teaspoons baking powder; ½ teaspoon sea salt; 1 cup almond milk (240 mL); 2 tablespoons maple syrup; 3 tablespoons vegan margarine, or refined coconut oil, at room temperature; 5 tablespoons light brown sugar; 2 teaspoons ground cinnamon; vegetable oil, for greasing; 2 cups confectioners sugar (240 g); ¼ cup water (60 mL)",,https://tasty.co/recipe/cinnamon-roll-pancakes-with-chloe-coscarelli
Eggplant Potato Tomato Stew,97% WOULD MAKE AGAIN,,for 5 servings,"4 medium yukon potatoes; 2 medium eggplants, chopped; 2 red bell peppers, seeded and chopped; 5 tablespoons olive oil, divided; 1 teaspoon salt, plus more to taste, divided; ¾ teaspoon pepper, plus more to taste, divided; 1 medium yellow onion, diced; 1 tablespoon tomato paste; 3 cloves garlic, minced; 1 teaspoon smoked paprika; 15 oz chickpeas (425 g), 1 can, drained and rinsed; 3 medium beefsteak tomatoes, diced; 1 ½ cups low sodium vegetable broth (360 mL); fresh parsley, for serving","Calories 390
Fat 6g
Carbs 75g
Fiber 16g
Sugar 17g
Protein 13g",https://tasty.co/recipe/eggplant-potato-tomato-stew
Easily The Best Garlic Herb Roasted Potatoes,96% WOULD MAKE AGAIN,,for 5 servings,"13 russet potatoes, cut into 1-inch (2 1/2 cm) pieces; 1 teaspoon baking soda; 1 teaspoon salt; ¼ cup olive oil (60 mL); 2 tablespoons garlic, minced; 2 tablespoons fresh rosemary, or fresh thyme, finely chopped; 1 teaspoon black pepper; salt, to taste; pepper, to taste; 1 small handful fresh parsley leaf, minced to garnish","Calories 642
Fat 3g
Carbs 141g
Fiber 12g
Sugar 6g
Protein 13g",https://tasty.co/recipe/easily-the-best-garlic-herb-roasted-potatoes
Black Bean Burgers,95% WOULD MAKE AGAIN,15 minutes,for 4 servings,"2 cans black beans, rinsed and drained; 1 onion, minced; 3 cloves garlic, minced; 2 carrots, shredded; ½ cup quick-cooking oats (50 g); 1 tablespoon soy sauce; 1 tablespoon olive oil; 1 teaspoon cumin; ½ teaspoon coriander; ½ teaspoon chili powder; ¼ teaspoon cayenne pepper; salt, to taste; pepper, to taste; 4 buns of choice","Calories 249
Fat 3g
Carbs 46g
Fiber 5g
Sugar 8g
Protein 8g",https://tasty.co/recipe/black-bean-burgers
Cilantro Rice,96% WOULD MAKE AGAIN,Under 30 minutes,for 4 servings,"1 cup long-grain white rice (200 g); 2 fresh or dried bay leaves; 1 ½ cups water (360 mL); 2 tablespoons lime juice; 1 teaspoon lemon juice; kosher salt, to taste; ½ cup finely chopped fresh cilantro (20 g)","Calories 215
Fat 0g
Carbs 46g
Fiber 0g
Sugar 0g
Protein 5g",https://tasty.co/recipe/cilantro-rice
Berry Smoothie Bowl,94% WOULD MAKE AGAIN,,for 2 servings,"½ cup strawberry (75 g); ½ cup raspberry (60 g); 1 cup blackberry (55 g); 1 banana, sliced; ½ cup greek yogurt (140 g); ¼ cup almond milk (60 mL), or soy milk; ¼ cup peanut butter (60 g); strawberry, sliced, to taste; banana, sliced, to taste; slivered almond, to taste; ¼ cup blueberries (25 g), to taste; shredded coconut, to taste; sunflower seed, to taste; 2 tablespoons chia seeds, to taste","Calories 292
Fat 7g
Carbs 50g
Fiber 9g
Sugar 31g
Protein 11g",https://tasty.co/recipe/berry-smoothie-bowl
Chickpea Salad Sandwich,97% WOULD MAKE AGAIN,Under 30 minutes,for 3 servings,"15 oz chickpeas (425 g), drained and rinsed; ¼ cup diced red onion (40 g); ½ red bell pepper, diced; 3 tablespoons vegan mayonnaise; ½ teaspoon dijon mustard; ½ teaspoon garlic powder; ½ teaspoon onion powder; kosher salt, to taste; freshly ground black pepper, to taste; 1 tablespoon fresh dill, chopped; sliced bread, for serving; leafy green, for serving","Calories 337
Fat 12g
Carbs 42g
Fiber 12g
Sugar 8g
Protein 13g",https://tasty.co/recipe/chickpea-salad-sandwich
One-Pot Mexican Quinoa,97% WOULD MAKE AGAIN,Under 30 minutes,for 4 servings,"1 cup quinoa (170 g), rinsed; 1 ½ cups water (360 mL), or vegetable broth; 1 ¼ cups salsa (325 g); 1 tablespoon cumin; 15 oz black beans (425 g), 1 can, drained and rinsed; 1 cup frozen corn (175 g), defrosted; salt, to taste; olive oil, to taste; 1 avocado, mashed; 1 clove garlic, minced; 2 teaspoons lemon juice; 3 tablespoons olive oil; salt, to taste; pepper, to taste; 4 tablespoons water; tortilla, to serve, optional","Calories 412
Fat 14g
Carbs 60g
Fiber 15g
Sugar 4g
Protein 15g",https://tasty.co/recipe/one-pot-mexican-quinoa
Guacamole,97% WOULD MAKE AGAIN,,for 4 servings,"4 avocados, halved, pitted, and diced; ¼ small red onion, finely chopped; ½ jalapeño, seeded and finely chopped; ¼ cup fresh cilantro (10 g), finely chopped; 2 tablespoons lime juice; kosher salt, to taste; freshly ground black pepper, to taste","Calories 256
Fat 22g
Carbs 14g
Fiber 10g
Sugar 0g
Protein 3g",https://tasty.co/recipe/guacamole
One-Pan Breakfast Potatoes,97% WOULD MAKE AGAIN,Under 30 minutes,for 4 servings,"3 russet potatoes, cut into bite-size pieces; 1 red bell pepper, diced; 1 small white onion, diced; olive oil, to taste; 1 tablespoon dried rosemary; 1 tablespoon garlic, minced; 1 teaspoon paprika; 1 teaspoon salt; 1 teaspoon pepper","Calories 239
Fat 2g
Carbs 51g
Fiber 5g
Sugar 6g
Protein 5g",https://tasty.co/recipe/one-pan-breakfast-potatoes
Tomato Basil Soup,96% WOULD MAKE AGAIN,Under 30 minutes,for 8 servings,"1 tablespoon oil; 1 onion, chopped; 1 stalk celery, chopped; 3 cloves garlic, minced; 1 teaspoon salt; ¼ teaspoon pepper; 2 tablespoons tomato paste; ¼ cup finely chopped fresh basil (10 g), plus more for garnish; 56 oz canned crushed tomatoes (795 g); 6 cups vegetable broth (1.5 L); ½ teaspoon baking soda; 2 sprigs fresh thyme","Calories 66
Fat 0g
Carbs 13g
Fiber 2g
Sugar 7g
Protein 2g",https://tasty.co/recipe/tomato-basil-soup
Hearty Vegetable Stew,97% WOULD MAKE AGAIN,,for 6 servings,"2 tablespoons olive oil; 10 oz baby bella mushroom (275 g), quartered; 1 yellow onion, diced; 3 carrots, chopped; 2 celery stalks, chopped; 2 cloves garlic, minced; ½ teaspoon dried rosemary; ½ teaspoon dried thyme; ½ teaspoon pepper; 3 tablespoons tomato paste; 2 tablespoons low sodium soy sauce; ¼ cup flour (30 g); ¾ cup dry red wine (180 mL); 4 cups red potato (900 g), diced; 4 cups vegetable broth (960 mL); 2 dried bay leaves","Calories 211
Fat 1g
Carbs 42g
Fiber 5g
Sugar 7g
Protein 6g",https://tasty.co/recipe/hearty-vegetable-stew
PB&J Overnight Oats,92% WOULD MAKE AGAIN,Under 30 minutes,for 2 servings,"⅔ cup rolled oats (65 g); ⅔ cup milk (160 mL), of your choice; ½ cup vanilla greek yogurt (120 g); 1 tablespoon strawberry jam; 3 tablespoons nut butter; ½ teaspoon vanilla extract; 1 teaspoon chia seed, optional; strawberry, quartered, to serve","Calories 553
Fat 21g
Carbs 71g
Fiber 9g
Sugar 20g
Protein 20g",https://tasty.co/recipe/pb-j-overnight-oats
Summer Vegetable Minestrone Soup,97% WOULD MAKE AGAIN,,for 2 servings,"1 tablespoon oil; 2 carrots, chopped; 2 stalks celery, chopped; 1 onion, chopped; 1 teaspoon salt; ½ teaspoon black pepper; 1 potato, peeled and cubed; 3 cloves garlic, minced; 28 oz diced tomato (795 g), 1 can; 8 cups vegetable stock (1.8 L); 2 zucchinis, diced; 15 oz cannellini bean (425 g), 1 can, rinsed and drained; 3 cups spinach (120 g); 2 cups elbow pasta (200 g)","Calories 1089
Fat 5g
Carbs 207g
Fiber 28g
Sugar 29g
Protein 44g",https://tasty.co/recipe/summer-vegetable-minestrone-soup
Classic Party Guacamole,97% WOULD MAKE AGAIN,,for 8 serving,"2 large avocados, pitted, peeled, and diced; 1 medium roma tomato, seeded and diced; ½ red onion, minced; ½ jalapeño, seeded and minced; 1 lime, juiced; salt, to taste; pepper, to taste; fresh cilantro, chopped, optional; tortilla chip, for serving","Calories 69
Fat 5g
Carbs 5g
Fiber 2g
Sugar 0g
Protein 0g",https://tasty.co/recipe/classic-party-guacamole
Thai Coconut Vegetable Curry,95% WOULD MAKE AGAIN,Under 30 minutes,for 8 servings,"1 tablespoon coconut oil; 1 red onion, thinly sliced; 1 medium jalapeno, seeded and finely chopped; 3 cloves garlic, minced; 1 orange bell pepper, seeded and cut into thin strips; 1 large eggplant, ends trimmed, diced; 3 tablespoons red curry paste; 1 tablespoon brown sugar; 13.5 oz light coconut milk (400 mL); 28 oz diced tomatoes (790 g); 13.5 oz chickpeas (380 g), drained and rinsed; 5 oz baby spinach (140 g); ¼ cup chopped fresh cilantro (10 g); cooked brown rice, for serving","Calories 253
Fat 11g
Carbs 32g
Fiber 8g
Sugar 12g
Protein 7g",https://tasty.co/recipe/thai-coconut-vegetable-curry
Easy Vegan Pasta Salad,95% WOULD MAKE AGAIN,Under 30 minutes,for 4 servings,"8 oz dried pasta (225 g), cooked; 15 oz chickpeas (425 g), 1 can, drained and rinsed; 1 cup broccoli floret (150 g), steamed; ½ cup carrot (60 g), shredded; ½ cup red onion (75 g), sliced; ¼ cup fresh parsley (10 g); ¼ cup olive oil (60 mL); ¼ cup red wine vinegar (60 mL); 1 clove garlic, minced; 1 teaspoon dried oregano; salt, to taste; pepper, to taste; 1 ½ cups cherry tomatoes (300 g)","Calories 351
Fat 7g
Carbs 58g
Fiber 12g
Sugar 10g
Protein 15g",https://tasty.co/recipe/easy-vegan-pasta-salad
Protein-Packed Chili,97% WOULD MAKE AGAIN,,for 8 servings,"1 tablespoon oil; 8 cloves garlic, minced; 1 onion, chopped; 1 red bell pepper, chopped; 1 jalapeño, chopped, seeded; 1 teaspoon salt, to taste; ¼ teaspoon pepper, to taste; 1 tablespoon cayenne pepper; 4 tablespoons chili powder; 1 tablespoon cumin; 4 tomatoes, cubed; 28 oz crushed tomato (795 g), 1 can; 4 cups vegetable broth (960 mL); 2 cups water (480 mL); 1 ½ cups quinoa (255 g), rinsed; 1 cup red kidney bean (175 g), drained; 1 cup pinto bean (175 g), drained; 1 cup black beans (170 g), drained; 1 cup corn (175 g), fresh or frozen; 1 tablespoon lime juice; 1 teaspoon dried oregano; 1 tablespoon fresh cilantro; avocado, for garnish","Calories 194
Fat 2g
Carbs 39g
Fiber 8g
Sugar 8g
Protein 9g",https://tasty.co/recipe/protein-packed-chili
Chipotle Chickpea Tacos,98% WOULD MAKE AGAIN,Under 30 minutes,for 2 servings,"1 tablespoon olive oil; 15 oz chickpeas (425 g), 1 can, drained and rinsed; 2 tablespoons low sodium soy sauce; 1 teaspoon chipotle chili powder; 1 teaspoon garlic powder; tortilla, to serve","Calories 375
Fat 7g
Carbs 58g
Fiber 17g
Sugar 10g
Protein 20g",https://tasty.co/recipe/chipotle-chickpea-tacos
Garlic Veggie Rotini Pasta,94% WOULD MAKE AGAIN,,for 3 servings,"2 tablespoons oil; 2 cups sliced mushrooms (150 g); 2 cups chopped broccoli (500 g); 4 cloves garlic, chopped; 2 bell peppers, sliced; 1 tablespoon dried oregano; 2 teaspoons salt; 2 teaspoons pepper; 1 ¼ cups cooked rotini pasta (250 g)","Calories 186
Fat 2g
Carbs 37g
Fiber 7g
Sugar 6g
Protein 9g",https://tasty.co/recipe/garlic-veggie-rotini-pasta
Chinese Takeout-style Tofu And Broccoli,95% WOULD MAKE AGAIN,Under 30 minutes,for 4 servings,"14 oz firm tofu; 1 teaspoon vegetable oil; 1 ½ teaspoons sesame oil, divided; 3 cups broccoli florets; 3 tablespoons vegetable broth; 2 garlic cloves, minced; 1 teaspoon grated ginger; ¼ cup soy sauce; 2 tablespoons agave syrup; 1 tablespoon rice vinegar; 1 tablespoon cornstarch, mixed with 1 tablespoon water; ¹¹⁄₂ teaspoon toasted sesame seeds, plus more for serving; cooked white rice, for serving; sliced scallions, for serving","Calories 227
Fat 8g
Carbs 27g
Fiber 7g
Sugar 11g
Protein 15g",https://tasty.co/recipe/chinese-takeout-style-tofu-and-broccoli
One-Pot Lentil Bolognese,95% WOULD MAKE AGAIN,,for 4 servings,"8 oz dried spathetti (225 g); 2 tablespoons olive oil; ½ large yellow onion, minced; 2 medium carrots, sliced; 1 stalk celery, sliced; 4 cups white mushroom (300 g), sliced; 1 teaspoon salt, plus more to taste; 1 teaspoon pepper, plus more to taste; ½ cup red wine (120 mL); 3 cloves garlic, minced; 28 oz diced organic tomato (795 g); ¼ cup tomato paste (55 g); 2 cups vegetable broth (480 mL); 1 cup dried brown lentils (200 g); ½ teaspoon dried basil; ½ teaspoon dried oregano; ½ teaspoon dried rosemary; ½ teaspoon baking soda; ¼ cup finely chopped fresh parsley (10 g), for garnish","Calories 506
Fat 3g
Carbs 94g
Fiber 11g
Sugar 13g
Protein 23g",https://tasty.co/recipe/one-pot-lentil-bolognese
Chocolate Peanut Butter Cookie Smoothie,88% WOULD MAKE AGAIN,,for 1 serving,"⅓ cup old fashion oat (35 g); 2 teaspoons cocoa powder; 2 tablespoons nut butter, of your choice; 1 ½ frozen bananas; ⅔ cup milk (160 mL), of your choice","Calories 654
Fat 28g
Carbs 87g
Fiber 13g
Sugar 33g
Protein 22g",https://tasty.co/recipe/chocolate-peanut-butter-cookie-smoothie
How To Make Homemade Sourdough Bread,95% WOULD MAKE AGAIN,,for 8 servings,"2 cups warm water (480 mL); 2 ¼ teaspoons active dry yeast, 1 packet; 3 ½ cups flour (440 g); 2 tablespoons sugar; 4 cups flour (500 g); 2 teaspoons salt; 1 ¼ cups water (295 g); 1 cup starter (260 g), stir before using","Calories 460
Fat 1g
Carbs 96g
Fiber 3g
Sugar 2g
Protein 12g",https://tasty.co/recipe/how-to-make-homemade-sourdough-bread
Slow Cooker Rosemary Bread,96% WOULD MAKE AGAIN,,for 8 servings,"1 ¼ cups lukewarm water (300 mL); 1 teaspoon sugar; 1 packet active dry yeast, about 2 1/4 teaspoons; 1 teaspoon salt, plus more for sprinkling; 3 tablespoons olive oil; 2 tablespoons fresh rosemary, chopped, plus more for sprinkling; 3 ¾ cups all-purpose flour (470 g), plus more for dusting","Calories 210
Fat 2g
Carbs 41g
Fiber 1g
Sugar 0g
Protein 5g",https://tasty.co/recipe/slow-cooker-rosemary-bread
Slow Cooker Roasted Tomato Basil Soup,94% WOULD MAKE AGAIN,Under 30 minutes,for 8 servings,"2 lb tomato (910 g); 1 red bell pepper; 1 medium yellow onion; 6 cloves garlic; ½ cup olive oil (120 mL); kosher salt, to taste; pepper, to taste; 1 teaspoon dried oregano; 1 teaspoon dried thyme; 1 teaspoon tomato paste; 2 cups vegetable stock (480 mL); ½ cup fresh basil leaves (20 g)","Calories 76
Fat 4g
Carbs 10g
Fiber 2g
Sugar 5g
Protein 1g",https://tasty.co/recipe/slow-cooker-roasted-tomato-basil-soup
White Rice,96% WOULD MAKE AGAIN,Under 30 minutes,for 4 servings,1 cup long grain rice (200 g); 1 ¾ cups water (420 mL); 1 pinch salt,"Calories 211
Fat 0g
Carbs 45g
Fiber 0g
Sugar 0g
Protein 5g",https://tasty.co/recipe/rice
Tortilla Bowl Southwestern Salad,97% WOULD MAKE AGAIN,Under 30 minutes,for 4 servings,"4 teaspoons vegetable oil; 4 large flour tortillas; 2 romaine lettuce hearts; 2 tomatoes; ½ red onion; 2 avocados; 1 cup corn (175 g), canned, rinsed and drained; 1 cup black beans (170 g), canned, rinsed and drained; ¼ cup olive oil (60 mL); ¼ cup lime juice (60 mL); 1 clove garlic, minced; ⅛ teaspoon cumin; ½ teaspoon red pepper flakes; 3 tablespoons fresh cilantro, chopped; ½ teaspoon salt; ½ teaspoon pepper","Calories 396
Fat 22g
Carbs 44g
Fiber 9g
Sugar 3g
Protein 7g",https://tasty.co/recipe/tortilla-bowl-southwestern-salad
