,likes,time,servings,ingredients,nutritions,link
Trail Mix Popcorn Bars,92% WOULD MAKE AGAIN,"Total Time
1 hr 15 min
Prep Time
5 minutes
Cook Time
10 minutes",for 12 bars,"6 cups popcorn (50 g), crushed; 3 cups rolled oats (240 g); 1 cup raw almonds (140 g), chopped; 1 cup dried cranberries (125 g); 1 tablespoon cinnamon; ¾ cup honey (250 g); 1 cup brown sugar (220 g); ¼ teaspoon kosher salt","Calories 636
Fat 15g
Carbs 113g
Fiber 16g
Sugar 31g
Protein 17g",https://tasty.co/recipe/trail-mix-popcorn-bars
Jerk Cauliflower,67% WOULD MAKE AGAIN,"Total Time
1 hr 5 min
Prep Time
10 minutes
Cook Time
10 minutes",for 4 servings,"3 tablespoons kosher salt; 1 teaspoon garlic powder; 1 teaspoon allspice; 2 medium heads cauliflower, cut into large florets; 1 tablespoon canola oil, plus more as needed; 6 tablespoons cornstarch; ¼ cup fresh cilantro (10 g), chopped; 1 lime, cut into wedges, for serving; 1 medium yellow onion, chopped; 2 scotch bonnet peppers, seeded and chopped; 4 cloves garlic, chopped; 1 tablespoon fresh ginger, minced; 1 tablespoon fresh thyme; 2 tablespoons lime juice; ½ cup white vinegar (120 mL); ½ tablespoon ground nutmeg; 1 tablespoon ground allspice; 1 tablespoon light brown sugar; 1 ½ teaspoons kosher salt; ¼ teaspoon freshly ground black pepper; 1 tablespoon olive oil","Calories 250
Fat 2g
Carbs 52g
Fiber 16g
Sugar 19g
Protein 11g",https://tasty.co/recipe/jerk-cauliflower
Vanilla Espresso Almond Butter,85% WOULD MAKE AGAIN,Under 30 minutes,for 12 servings,3 cups roasted almond (420 g); 1 tablespoon instant espresso powder; 1 teaspoon vanilla extract; 2 tablespoons canola oil; food processor,"Calories 182
Fat 15g
Carbs 6g
Fiber 3g
Sugar 1g
Protein 6g",https://tasty.co/recipe/vanilla-espresso-almond-butter
Green Beans,88% WOULD MAKE AGAIN,Under 30 minutes,for 10 servings,"⅓ cup olive oil (80 mL), or canola oil; 5 tablespoons garlic, minced; 1 bag frozen French green beans; salt, to taste; toasted sesame oil, optional; sesame seed; toasted sesame seed","Calories 42
Fat 4g
Carbs 0g
Fiber 0g
Sugar 0g
Protein 0g",https://tasty.co/recipe/green-beans
Watermelon Rind Slaw,75% WOULD MAKE AGAIN,"Total Time
25 minutes
Prep Time
15 minutes
Cook Time
10 minutes",for 4 servings,"3 cups watermelon rind (300 g), thinly sliced (outer green skin and pink flesh removed); 1 ½ teaspoons kosher salt, divided plus more to taste; 1 red bell pepper, seeded and thinly sliced; 2 medium carrots, grated; 2 cups purple cabbage (200 g), thinly sliced; 2 scallions, thinly sliced; ¼ cup tahini (60 mL); 3 tablespoons apple cider vinegar; 1 tablespoon maple syrup; 3 tablespoons extra virgin olive oil; 1 tablespoon cold water, if necessary; ½ teaspoon freshly ground black pepper","Calories 199
Fat 7g
Carbs 31g
Fiber 5g
Sugar 19g
Protein 4g",https://tasty.co/recipe/watermelon-rind-slaw
Curry Fried Rice As Made By Liz Murphy,96% WOULD MAKE AGAIN,"Total Time
1 hr 20 min
Prep Time
1 hr
Cook Time
20 minutes",for 4 servings,"1 tablespoon sesame oil; 1 medium shallot, finely chopped; 1 clove garlic, minced; 1 teaspoon fresh ginger, minced; 3 large carrots, chopped; ½ cup kale (120 g), leaves and stems chopped and separated; 1 zucchini, chopped; ¼ cup raw cashews (35 g), chopped; 2 cups jasmine rice (400 g), cooked, cooled; ¼ cup tamari; 1 teaspoon curry powder; ½ teaspoon ground turmeric; ¼ teaspoon cayenne pepper; 1 tablespoon fresh lime juice; 2 tablespoons fresh cilantro, chopped","Calories 254
Fat 6g
Carbs 42g
Fiber 3g
Sugar 4g
Protein 6g",https://tasty.co/recipe/curry-fried-rice-as-made-by-liz-murphy
Healthy Smoothie Bowl: Blue Magik Bowl: A Star Is Born,68% WOULD MAKE AGAIN,Under 30 minutes,for 1 serving,1 fresh banana; 1 cup frozen strawberries (150 g); ½ cup frozen mango (80 g); 3 tablespoons blue majik; 1 ½ cups milk of choice (360 mL); 1 star fruit; ⅓ cup fresh blueberries (35 g); ½ cup shredded coconut (50 g); 1 tablespoon chia seeds,"Calories 683
Fat 26g
Carbs 108g
Fiber 20g
Sugar 71g
Protein 17g",https://tasty.co/recipe/healthy-smoothie-bowl-blue-magik-bowl-a-star-is-born
Dairy-Free Cashew Queso,74% WOULD MAKE AGAIN,Under 30 minutes,for 3 cups,"2 cups water (480 mL); 2 medium garlic cloves; 1 ½ cups raw cashews (225 g); 3 tablespoons nutritional yeast; 1 ¼ teaspoons ground cumin; ½ teaspoon chipotle powder; ½ teaspoon smoked paprika; 1 ½ teaspoons chili powder; 1 ¼ teaspoons kosher salt, plus more to taste; ½ cup canned diced tomatoes with green chiles (100 g); tortilla chip, for serving","Calories 202
Fat 14g
Carbs 13g
Fiber 2g
Sugar 2g
Protein 8g",https://tasty.co/recipe/dairy-free-cashew-queso
Hawaiian BBQ Pulled Jackfruit Pizza,95% WOULD MAKE AGAIN,,for 4 pizzas,"1 ½ cups warm water (360 mL); 2 teaspoons caster sugar; 1 teaspoon dried yeast (5 g); 1 teaspoon salt; ¼ cup olive oil (40 mL); 1 lb white bread flour (500 g); 1 tablespoon oil; 1 red onion, diced; 2 garlic cloves, peeled and crushed; 2 teaspoons smoked paprika; ½ teaspoon cayenne pepper; ½ teaspoon ground ginger; ½ teaspoon ground cinnamon; 1 teaspoon salt; ½ cup ketchup (120 g); 6 tablespoons rice vinegar (30 mL); ¼ cup light brown sugar (70 g); 2 ½ cups jackfruit (400 g); 1 red onion, sliced; 1 green pepper, sliced; 1 cup passata (200 g); 1 cup pineapple (150 g), choppedd; 3 cups mozzarella cheese (300 g), grated; dried oregano; rocket","Calories 1022
Fat 33g
Carbs 137g
Fiber 6g
Sugar 31g
Protein 43g",https://tasty.co/recipe/hawaiian-bbq-pulled-jackfruit-pizza
Strawberry Kiwi Sangria Ice Pops,96% WOULD MAKE AGAIN,Under 30 minutes,for 12 ice pops,"1 cup strawberry (150 g), chopped; 1 cup kiwi (180 g), divided, plus 12 slices of kiwi; 2 cups white wine (480 mL); 1 cup lemonade (240 mL); 2 oz vodka (60 mL); ice pop mold; ice pop stick","Calories 57
Fat 0g
Carbs 7g
Fiber 0g
Sugar 2g
Protein 0g",https://tasty.co/recipe/strawberry-kiwi-sangria-ice-pops
Fresh Herb Sauce,87% WOULD MAKE AGAIN,,for 1 serving,½ cup fresh cilantro leaves (20 g); ½ cup fresh parsley leaves (20 g); 2 cloves garlic; ¼ cup olive oil (60 mL); 1 tablespoon lime juice; ¼ teaspoon red pepper flakes; ½ teaspoon kosher salt,"Calories 137
Fat 14g
Carbs 2g
Fiber 0g
Sugar 0g
Protein 0g",https://tasty.co/recipe/fresh-herb-sauce
Ghoul And Ghost Dippers,77% WOULD MAKE AGAIN,Under 30 minutes,for 8 servings,"14 oz pizza dough (420 g); kosher salt, to taste; marinara sauce, for dipping","Calories 123
Fat 2g
Carbs 22g
Fiber 0g
Sugar 0g
Protein 3g",https://tasty.co/recipe/ghoul-and-ghost-dippers
Grapefruit Salad With Thai Curried Coconut Dressing As Made By Arnold Myint,86% WOULD MAKE AGAIN,"Total Time
40 minutes
Prep Time
25 minutes
Cook Time
10 minutes",for 4 servings,"1 tablespoon thai red curry paste; 2 tablespoons lime juice; 2 tablespoons fish sauce; ½ cup full fat canned coconut milk (120 mL); 2 tablespoons dark agave nectar; neutral oil, such as canola or vegetable, for frying; ¼ cup shallot (10 g), thinly sliced; kosher salt, to taste; corn starch, or all-purpose flour, for dusting; 2 cups grapefruit (450 g); 1 cup green beans (150 g), thinly sliced; 1 fresno chilie, thinly sliced; 1 cup bean sprout (100 g); 1 cup red cabbage (100 g), thinly sliced; 3 oz sunflower greens (85 g); 1 sprig fresh dill fronds; 8 fresh mint leaves, torn; 10 fresh cilantro leaves; ¼ cup unsweetened shredded coconut (25 g), toasted; ¼ cup roasted peanut (30 g)","Calories 351
Fat 22g
Carbs 36g
Fiber 7g
Sugar 22g
Protein 8g",https://tasty.co/recipe/grapefruit-salad-with-thai-curried-coconut-dressing-as-made-by-arnold-myint
Apple Butter As Made By Meiko,79% WOULD MAKE AGAIN,,for 2 cups,"2 lb gala apple (910 g); 2 lb honeycrisp apple (910 g); water, for soaking apples; 2 teaspoons lemon juice, plus more for soaking apples; ½ cup granulated sugar (100 g); ½ cup brown sugar (100 g); ¾ teaspoon ground cinnamon; ¾ teaspoon apple pie spice, or pumpkin pie spice; ¼ teaspoon kosher salt; 2 tablespoons apple cider, optional; 1 tablespoon vanilla extract",,https://tasty.co/recipe/apple-butter-as-made-by-meiko
Small Batch Bread And Butter Pickles,86% WOULD MAKE AGAIN,"Total Time
2 hr 50 min
Prep Time
25 minutes
Cook Time
25 minutes",for 1 jar,"14 oz hothouse cucumber (390 g), sliced into 1/4-in (6 mm) thick coins; ¼ small white onion, thinly sliced; 1 tablespoon kosher salt; 1 ½ cups distilled white vinegar (360 mL); ¾ cup sugar (150 g), plus 2 tablespoons; 2 cloves garlic, smashed; 1 ½ teaspoons mustard seed; ¼ teaspoon celery seed; ⅛ teaspoon ground turmeric; 8 whole black peppercorns; ¼ teaspoon red pepper flakes; 1 tablespoon water; 17 oz glass jars, sterilized",,https://tasty.co/recipe/small-batch-bread-and-butter-pickles
Multi-Purpose Natural Herbal Blend,85% WOULD MAKE AGAIN,,for 8 bags,"¼ cup mint (10 g); ¼ cup chamomile (60 g); ¼ cup rose petal (10 g); 2 tablespoons lavender; muslin reusable tea bag, or reusable cotton","Calories 0
Fat 0g
Carbs 0g
Fiber 0g
Sugar 0g
Protein 0g",https://tasty.co/recipe/multi-purpose-natural-herbal-blend
Pancake Sausage Muffins,85% WOULD MAKE AGAIN,"Total Time
35 minutes
Prep Time
15 minutes
Cook Time
20 minutes",for 12 muffins,"nonstick spray; 1 ½ cups all-purpose flour; 2 teaspoons baking powder; 1 teaspoon cinnamon; ½ teaspoon salt; 1 large egg; 1 ½ cups milk of choice; 3 tablespoons honey or monk fruit sweetener; 2 tablespoons melted butter or oil; 1 ½ teaspoons vanilla extract; ½ cup shredded cheddar cheese (optional); 6 fully cooked chicken or turkey breakfast sausage links, chopped into bite-sized pieces (3½ ounces total); maple syrup, for serving","Calories 121
Fat 4g
Carbs 12g
Fiber 0g
Sugar 1g
Protein 6g",https://tasty.co/recipe/pancake-sausage-muffins
Pisces Tea Blend,87% WOULD MAKE AGAIN,Under 30 minutes,for 24 servings,"½ cup dried jasmine flowers (5 g); ¼ cup dried butterfly pea flowers (5 g); 2 tablespoons dried lemon, diced; 2 tablespoons dried apple, diced","Calories 2
Fat 0g
Carbs 0g
Fiber 0g
Sugar 0g
Protein 0g",https://tasty.co/recipe/pisces-tea-blend
Pink Chunky Monkey Oat Parfait,87% WOULD MAKE AGAIN,Under 30 minutes,for 1 parfait,"1 large banana, chopped; 1 tablespoon cocoa powder; 1 cup Tasty's overnight oats base (90 g); ½ cup fresh raspberry (75 g), chopped; 3 tablespoons peanut butter, divided; 2 tablespoons walnuts, halved; 2 whole raspberries; 2 banana chips","Calories 578
Fat 19g
Carbs 98g
Fiber 13g
Sugar 53g
Protein 12g",https://tasty.co/recipe/pink-chunky-monkey-oat-parfait
Hazelnut Milk,83% WOULD MAKE AGAIN,Under 30 minutes,for 4 servings,1 cup raw hazelnuts (120 g); 1 tablespoon vanilla extract; 2 tablespoons honey; 2 tablespoons unsweetened cocoa powder; 1 pinch salt; 6 cups water (1.5 L),"Calories 231
Fat 18g
Carbs 13g
Fiber 3g
Sugar 8g
Protein 5g",https://tasty.co/recipe/hazelnut-milk
Olive Oil Sea Salt Moringa Popcorn,90% WOULD MAKE AGAIN,,for 4 servings,"4 cups popcorn (40 g); 1 tablespoon moringa powder; sea salt, to taste; 1 tablespoon olive oil","Calories 561
Fat 7g
Carbs 111g
Fiber 23g
Sugar 2g
Protein 18g",https://tasty.co/recipe/olive-oil-sea-salt-moringa-popcorn
Cranberry Fruit Rollers,82% WOULD MAKE AGAIN,Under 30 minutes,for 10 servings,10 oz fresh cranberries (285 g); 1 teaspoon lemon juice; 2 teaspoons lemon zest; ½ cup maple syrup (170 g),"Calories 44
Fat 0g
Carbs 11g
Fiber 1g
Sugar 8g
Protein 0g",https://tasty.co/recipe/cranberry-fruit-rollers
Mediterranean Crostini,,"Total Time
30 minutes
Prep Time
5 minutes
Cook Time
25 minutes",for 12 crostinis,"12 slices baguette, 1/2 in (1 cm) cut on a slight diagonal; olive oil, to taste; kosher salt, to taste; ¾ cup hummus (185 g); ¼ cup greek olives (45 g), pitted and chopped mixed; paprika, to taste","Calories 119
Fat 3g
Carbs 18g
Fiber 1g
Sugar 1g
Protein 4g",https://tasty.co/recipe/mediterranean-crostini
,,,,,,https://tasty.co/recipe/ries-japanese-cooking-starter-pantry-kit-and-tool-guide
Mini Blueberry Peach Crisps,,"Total Time
1 hr 15 min
Prep Time
10 minutes
Cook Time
40 minutes",for 4 servings,"2 cups large peaches (450 g), pitted and sliced 1/8 in (3 cm); 6 oz blueberry (170 g); 3 tablespoons organic sugar; 1 ½ teaspoons arrowroot powder; 1 cup old fashioned rolled oat (80 g), divided; ¼ cup raw almonds (35 g); 1 tablespoon flax seed; 2 tablespoons pepitas, pumpkin seeds; 2 tablespoons almond flour; ¼ teaspoon kosher salt; 1 teaspoon ground ginger; 2 tablespoons maple syrup; 3 tablespoons coconut oil, melted; 2 cast iron pans, 4 1/2 in (10 cm)",,https://tasty.co/recipe/mini-blueberry-peach-crisps
Sparkling Rose Cocktail,78% WOULD MAKE AGAIN,"Total Time
30 minutes
Prep Time
5 minutes
Cook Time
10 minutes",for 2 servings,"½ cup water (120 mL); ½ cup sugar (100 g); 1 cup strawberry (150 g), chopped; ice, for shaking; 4 oz vodka (120 g); 2 tablespoons fresh lemon juice; 1 teaspoon rosewater; 4 oz dry sparkling wine (120 g); club soda, for topping; dried rose petal, for garnish","Calories 342
Fat 0g
Carbs 44g
Fiber 1g
Sugar 40g
Protein 0g",https://tasty.co/recipe/sparkling-rose-cocktail
Baby Friendly Overnight Oats,,,for 1 serving,"½ cup oats (125 g); ½ cup plant based milk (120 mL); 2 teaspoons chia seeds; 1 tablespoon ground flax; 1 tablespoon ground hemp; 1 teaspoon peanut butter; fresh seasonal fruit, to serve","Calories 433
Fat 14g
Carbs 61g
Fiber 9g
Sugar 8g
Protein 15g",https://tasty.co/recipe/baby-friendly-overnight-oats
Spaghetti Alla Chittara,,Under 30 minutes,for 1 serving,"1 package spaghetti; 4 roma tomatoes; ½ cup olive oil (120 mL); ⅓ fresh basil; ⅛ cup fresh garlic (20 g); salt, to taste","Calories 648
Fat 31g
Carbs 79g
Fiber 5g
Sugar 6g
Protein 14g",https://tasty.co/recipe/spaghetti-alla-chittara
Tin Salmon & Citrus Pasta,81% WOULD MAKE AGAIN,"Total Time
30 minutes
Prep Time
15 minutes
Cook Time
15 minutes",for 2 servings,"2 scallions, chopped; 2 garlic cloves, grated; ¼ teaspoon red chili flakes, or to taste; 4 tablespoons olive oil; 1 tablespoon capers; 2 ½ oz Boursin cheese of choice; 4 oz dry spaghetti; ½ cup dry white wine; 1 teaspoon whole-grain mustard; ½ lemon, zest and juice; kosher salt, to taste; freshly ground black pepper, to taste; 1 (6-ounce) can salmon; ¼ cup fresh parsley, roughly chopped; ¼ cup fresh dill, roughly chopped","Calories 496
Fat 17g
Carbs 55g
Fiber 3g
Sugar 3g
Protein 22g",https://tasty.co/recipe/tin-salmon-citrus-pasta
Tofu Buddha Bowl,90% WOULD MAKE AGAIN,"Total Time
50 minutes
Prep Time
10 minutes
Cook Time
40 minutes",for 6 servings,"2 tablespoons sesame oil; 2 tablespoons sweet mirin; 1 tablespoon McCormick® Fiery Spice Blend; 1 teaspoon kosher salt, plus more to taste; 16 oz extra firm tofu (455 g); 2 medium sweet potatoes, peeled; 2 medium broccoli crowns; 6 cups cooked quinoa (1 kg); 3 cups purple cabbage (300 g), thinly sliced; 1 english cucumber, julienned; 1 large avocado, thinly sliced; ⅓ cup roasted peanuts (40 g); 3 tablespoons fresh cilantro leaves, for garnish; 3 tablespoons fresh mint leaf, torn for garnish; 2 tablespoons sesame oil; 2 tablespoons apple cider vinegar; 1 tablespoon McCormick® Fiery Spice Blend; ⅓ cup cold water (80 mL), as needed; kosher salt, to taste","Calories 989
Fat 32g
Carbs 140g
Fiber 22g
Sugar 11g
Protein 39g",https://tasty.co/recipe/tofu-buddha-bowl
Nian Gao,,"Total Time
1 hr 35 min
Prep Time
25 minutes
Cook Time
1 hr 10 min",for 1 7-inch round cake,"2 tablespoons vegetable oil, divided, plus more for frying (optional); 3 cups water (720 mL), divided, plus more as needed; 2 slices peeled fresh ginger; 12.5 oz brown rock sugar (360 g), or 2 cups (packed) dark brown sugar; 1 lb glutinous rice flour (425 g); 1 dried jujube; roasted sesame seed, for garnish",,https://tasty.co/recipe/nian-gao
Pumpkin Pie Bowls,,,for 6 pumpkins,6 small pumpkins; 1 cup all-purpose flour (125 g); ½ cup brown sugar (110 g); ¼ cup almond milk (60 mL); 2 tablespoons neutral oil; 1 teaspoon baking powder; ½ teaspoon salt; 1 cup oats (100 g); 22 ½ oz canned pumpkin puree; ½ cup brown sugar (55 g); 1 teaspoon ground cinnamon; ½ teaspoon ground ginger; ½ teaspoon ground nutmeg; ¼ teaspoon ground cloves; ⅓ cup almond milk (80 mL); 1 tablespoon olive oil; 2 tablespoons cornstarch; ½ teaspoon salt; 15 oz canned coconut cream (500 mL); ¼ cup powdered sugar (40 g),"Calories 736
Fat 32g
Carbs 108g
Fiber 12g
Sugar 79g
Protein 13g",https://tasty.co/recipe/pumpkin-pie-bowls
Smoothies: Tropical Island,,,for 1 serving,"1 cup Great Value® Nonfat Milk (240 mL); 1 ½ cups Great Value® Berry Medley (260 g); ¼ cup dried apricot (50 g), diced; ¼ cup coconut chips (20 g)",,https://tasty.co/recipe/smoothies-tropical-island
Avocado Citrus Salad,,"Total Time
20 minutes
Prep Time
15 minutes
Cook Time
5 minutes",for 4 servings,"2 ½ lb mixed citrus (375 g), such as navel oranges, grapefruits, and cara cara oranges; 1 shallot; 1 tablespoon olive oil; kosher salt, to taste; freshly ground black pepper, to taste; 1 ripe avocado, large; arugula; flaky sea salt, for garnish","Calories 177
Fat 6g
Carbs 29g
Fiber 7g
Sugar 21g
Protein 2g",https://tasty.co/recipe/avocado-citrus-salad
Strawberry Daifuku Mochi,,"Total Time
5 hr
Prep Time
30 minutes
Cook Time
2 hr 10 min",for 4 servings,"½ cup adzuki beans (100 g), preferably from hokkaido; 1 ¾ cups filtered water (420 g), divided; ⅓ cup organic sugar (75 g); ½ teaspoon kosher salt; ½ cup mochiko (75 g), sweet rice flour; ⅓ cup organic sugar (75 g); 1 teaspoon dragon fruit powder; ½ cup filtered water (120 g); cornstarch, for dusting; 4 large strawberries, stemmed and hulled (25–30 grams each)","Calories 163
Fat 0g
Carbs 39g
Fiber 0g
Sugar 24g
Protein 1g",https://tasty.co/recipe/strawberry-daifuku-mochi
Cranberry Rosemary Herb Soda,,Under 30 minutes,for 10 servings,"1 cup frozen cranberries (125 g), thawed; ½ cup honey syrup (120 mL), see recipe; 2 sprigs fresh rosemary, leaves only, chopped; seltzer water, for serving","Calories 46
Fat 0g
Carbs 12g
Fiber 0g
Sugar 11g
Protein 0g",https://tasty.co/recipe/cranberry-rosemary-herb-soda
Precise Avocado Toast (Capricorn),62% WOULD MAKE AGAIN,,for 1 serving,"½ avocado; kosher salt, to taste; 1 teaspoon lemon juice; 1 slice rye toast; ¼ cup chickpeas, cooked or canned; 12 edamames, frozen, thawed",,https://tasty.co/recipe/precise-avocado-toast-capricorn
Grilled Tofu Tacos,,"Total Time
1 hr 30 min
Prep Time
15 minutes
Cook Time
45 minutes",for 8 Tacos,"1 package extra firm tofu, drained and pressed; ¼ cup lime juice (60 mL); 1 tablespoon lime zest, from 2 limes; 1 ½ tablespoons soy sauce; 1 ½ teaspoons chili powder; ½ teaspoon ground cumin; ¼ teaspoon ground coriander; 2 tablespoons brown sugar; ½ teaspoon kosher salt; 1 tablespoon canola oil, plus more for greasing; ½ medium pineapple, cored and cut 1/2 in (1.24 cm); ½ medium white onion, diced; 1 large jalapeño, seeded and minced; 1 clove garlic, minced; ½ cup fresh cilantro (20 g), chopped; 1 teaspoon kosher salt; ½ lime, juiced; 8 flour tortillas; 1 avocado, pitted, peeled, and thinly sliced; lime wedge","Calories 242
Fat 6g
Carbs 39g
Fiber 4g
Sugar 10g
Protein 8g",https://tasty.co/recipe/grilled-tofu-tacos
French Onion Poutine,,,for 4 servings,"6 tablespoons unsalted butter; 1 large yellow onion, sliced into ¼-inch-thick half moons; 1 teaspoon McCormick® Dried Thyme Leaves, plus more for garnish; 1 ½ cups beef stock (360 mL); .87 oz McCormick® Brown Gravy (10 g); 32 oz frozen crinkle fries (945 g), cooked according to package instructions; 1 cup shredded gruyère cheese (100 g); ¾ cup cheese curds (175 g)","Calories 490
Fat 39g
Carbs 14g
Fiber 1g
Sugar 4g
Protein 20g",https://tasty.co/recipe/french-onion-poutine
Pineapple Grapefruit Yuzu Mocktail,81% WOULD MAKE AGAIN,8 minutes,for 1 serving,"lime wedge, for coating rim (optional); sea salt, for coating rim (optional); 1 slice fresh pineapple, chopped; ½ lime, juiced; ½ oz yuzu hot sauce (15 g); ½ oz agave nectar (15 g); ½ grapefruit, juiced; ½ cup ice (70 g); sparkling pineapple or grapefruit juice, or sparkling water, for topping; fresh mint, for garnish (optional)","Calories 121
Fat 0g
Carbs 31g
Fiber 2g
Sugar 23g
Protein 1g",https://tasty.co/recipe/pineapple-grapefruit-yuzu-mocktail
Dairy-Free Broccolini “Cheddar” Quiche,42% WOULD MAKE AGAIN,"Total Time
3 hr 15 min
Prep Time
1 hr 30 min
Cook Time
1 hr 15 min",for 8 servings,"1 Tasty's Vegan Quiche Crust, dough chilled; 1 package silken tofu; 2 tablespoons water; 2 heads broccolini, tough stems removed, rough chopped (about 2 cups total); 1 ½ teaspoons kosher salt, plus more taste; 2 teaspoons olive oil; ½ medium white onion, diced; ¼ cup chickpea flour (25 g); ⅔ cup unsweetened oat milk (160 mL); 2 tablespoons coconut oil, refined; ¼ teaspoon ground turmeric; ½ teaspoon garlic powder; ½ teaspoon kala namak, black salt; 2 tablespoons corn starch, or arrowroot powder; 1 tablespoon white miso; 2 tablespoons nutritional yeast; ½ teaspoon freshly ground black pepper; ⅓ cup fresh chives (10 g), thinly sliced; pie weight","Calories 244
Fat 11g
Carbs 28g
Fiber 3g
Sugar 4g
Protein 7g",https://tasty.co/recipe/dairy-free-broccolini-cheddar-quiche
