name,likes,time,servings,link,calories,fat,carbs,fiber,sugar,protein,no_ing,contains_soy,contains_glutten,fruits,vegetables,grains,dairy_alternatives,herbs_and_spices,sweeteners,oils,condiments_and_sauces,grains_and_cereals
Tomato Basil Bruschetta,0.99,30.0,2,https://tasty.co/recipe/tomato-basil-bruschetta,487.0,11.0,81.0,4.0,8.0,0,9,0,0,0,1,0,0,1,0,1,1,0
Roasted Cauliflower Salad,0.93,30.0,4,https://tasty.co/recipe/roasted-cauliflower-salad,203.0,11.0,23.0,8.0,9.0,0,16,0,0,0,1,0,0,1,0,1,0,0
Dalgona Coffee,0.92,30.0,1,https://tasty.co/recipe/dalgona-coffee,132.0,0.0,28.0,0.0,28.0,0,4,0,0,0,0,0,0,0,1,0,0,0
Avocado Chickpea Salad with Chili Lime Dressing,0.97,30.0,4,https://tasty.co/recipe/avocado-chickpea-salad,465.0,13.0,71.0,21.0,16.0,1,13,0,0,0,1,0,0,1,0,1,0,0
Ultimate Homemade Pizza,0.94,30.0,6,https://tasty.co/recipe/ultimate-homemade-pizza,647.0,2.0,136.0,6.0,4.0,0,17,0,1,0,1,1,0,1,1,0,1,0
Pico De Gallo,0.99,30.0,2,https://tasty.co/recipe/pico-de-gallo,27.0,0.0,6.0,1.0,2.0,0,8,0,0,0,1,0,0,1,0,0,0,0
No-Bake Peanut Butter Coconut Cookies,0.88,30.0,8,https://tasty.co/recipe/no-bake-peanut-butter-coconut-cookies,135.0,12.0,3.0,1.0,1.0,0,4,0,0,0,0,0,0,0,0,1,0,0
Fudgiest Dairy-Free Chocolate Cake,0.91,30.0,10,https://tasty.co/recipe/fudgiest-dairy-free-chocolate-cake,1077.0,65.0,127.0,15.0,78.0,0,17,0,1,1,0,1,1,0,1,1,1,0
Roasted Chickpea And Avocado Salad,0.97,30.0,6,https://tasty.co/recipe/roasted-chickpea-and-avocado-salad,313.0,10.0,44.0,14.0,8.0,1,12,0,0,0,1,0,0,1,0,1,0,0
The Best Ever Vegan Brownies,0.9,30.0,9,https://tasty.co/recipe/the-best-ever-vegan-brownies,361.0,23.0,38.0,3.0,24.0,0,10,0,1,0,0,1,0,0,1,0,0,0
Paprika Herb Roasted Carrots,0.95,30.0,4,https://tasty.co/recipe/paprika-herb-roasted-carrots,42.0,0.0,8.0,2.0,3.0,0,6,0,0,0,1,0,0,1,0,0,0,0
Classic Hummus,0.98,30.0,2,https://tasty.co/recipe/classic-hummus,468.0,18.0,58.0,16.0,9.0,1,11,0,0,0,0,0,0,1,0,1,0,0
French Fries 3 Ways,0.92,90.0,2,https://tasty.co/recipe/french-fries-3-ways,206.54,7.31,30.69,0.0,0.0,0,28,0,0,1,1,0,0,1,0,1,1,0
Lentil & Roasted Vegetable Salad,0.91,30.0,2,https://tasty.co/recipe/lentil-roasted-vegetable-salad,556.0,3.0,109.0,19.0,20.0,1,10,0,0,0,1,0,0,0,1,1,1,0
Peanut Butter Oatmeal,0.93,30.0,1,https://tasty.co/recipe/peanut-butter-oatmeal,639.0,15.0,112.0,16.0,21.0,0,6,0,0,1,0,1,1,1,0,0,0,0
Honey Lime Fruit Salad,0.98,30.0,4,https://tasty.co/recipe/honey-lime-fruit-salad,262.0,1.0,66.0,8.0,48.0,0,7,0,0,1,0,0,0,0,0,0,0,0
Southwestern Salad With Avocado Dressing,0.97,30.0,5,https://tasty.co/recipe/southwestern-salad-with-avocado-dressing,334.0,15.0,39.0,10.0,5.0,1,15,0,0,0,1,0,0,1,0,1,0,0
Cauliflower Walnut Burritos,0.96,30.0,4,https://tasty.co/recipe/cauliflower-walnut-burritos,482.0,18.0,67.0,6.0,6.0,1,18,1,0,0,1,1,0,1,0,1,1,1
Sweet Potato And Black Bean Burritos,0.98,30.0,3,https://tasty.co/recipe/sweet-potato-and-black-bean-burritos,448.0,5.0,85.0,14.0,14.0,1,19,0,0,0,1,1,0,1,0,1,0,1
Kale Chips,0.96,30.0,2,https://tasty.co/recipe/kale-chips,38.0,3.0,0.0,0.0,0.0,0,5,0,0,0,0,0,0,1,0,1,0,0
Easy Microwave Potato Chips,0.9,30.0,4,https://tasty.co/recipe/easy-microwave-potato-chips,75.0,1.0,13.0,1.0,0.0,0,3,0,0,0,0,0,0,0,0,1,0,0
Ultimate Sweet Potato Fries,0.92,30.0,4,https://tasty.co/recipe/ultimate-sweet-potato-fries,155.0,6.0,21.0,1.0,7.0,0,8,0,0,1,0,0,0,1,0,1,0,0
Lentil Soup,0.96,30.0,5,https://tasty.co/recipe/lentil-soup,370.0,2.0,68.0,10.0,7.0,1,12,0,0,0,1,0,0,1,0,1,0,0
Cauliflower Gnocchi,0.89,30.0,3,https://tasty.co/recipe/cauliflower-gnocchi,281.0,2.0,56.0,11.0,9.0,0,5,0,1,0,0,1,0,0,0,1,1,0
Classic Granola,0.95,30.0,8,https://tasty.co/recipe/classic-granola,256.0,11.0,33.0,4.0,8.0,0,10,0,0,0,0,1,0,1,1,1,0,0
Vegan Shepherd's Pie,0.95,30.0,6,https://tasty.co/recipe/vegan-shepherd-s-pie,249.0,4.0,47.0,5.0,5.0,0,18,1,0,0,1,1,1,1,0,0,0,0
Sweet Potato And Chickpea Salad,0.97,30.0,4,https://tasty.co/recipe/sweet-potato-and-chickpea-salad,341.0,10.0,51.0,10.0,13.0,1,16,0,0,0,1,0,0,1,0,1,0,0
30 Minute Tomato Sauce,0.96,30.0,6,https://tasty.co/recipe/30-minute-tomato-sauce,68.0,2.0,12.0,3.0,6.0,0,9,0,0,0,1,0,0,1,0,1,0,0
Slow-Cooker Tuscan White Bean Soup,0.91,30.0,6,https://tasty.co/recipe/slow-cooker-tuscan-white-bean-soup,237.0,1.0,40.0,13.0,6.0,1,12,0,0,0,1,0,0,1,0,0,0,0
Roasted Cauliflower With Cumin And Turmeric,0.94,30.0,4,https://tasty.co/recipe/roasted-cauliflower-with-cumin-and-turmeric,77.0,1.0,14.0,6.0,6.0,0,6,0,0,0,0,0,0,1,0,1,0,0
Spicy Roasted Chickpeas,0.91,30.0,1,https://tasty.co/recipe/spicy-roasted-chickpeas,737.0,15.0,115.0,34.0,20.0,1,6,0,0,0,0,0,0,1,0,1,0,0
Bruschetta,0.98,30.0,4,https://tasty.co/recipe/bruschetta,215.0,2.0,40.0,2.0,4.0,0,8,0,0,0,1,0,0,1,0,1,1,0
Avocado And Tomato Salad,0.97,30.0,2,https://tasty.co/recipe/avocado-and-tomato-salad,157.0,11.0,14.0,7.0,4.0,0,6,0,0,0,1,0,0,1,0,0,0,0
Roasted Carrots,0.94,30.0,4,https://tasty.co/recipe/roasted-carrots,90.0,3.0,15.0,3.0,9.0,0,6,0,0,0,1,0,0,1,1,1,0,0
One-Pot Spinach And Tomato Pasta,0.96,30.0,2,https://tasty.co/recipe/one-pot-spinach-and-tomato-pasta,221.0,4.0,29.0,3.0,6.0,0,10,0,1,0,1,0,0,1,0,1,0,0
Meatless Paella,0.94,30.0,6,https://tasty.co/recipe/meatless-paella,238.0,4.0,44.0,5.0,8.0,1,21,0,0,0,1,1,0,1,0,1,0,0
Roasted Red Pepper Vegan Mac 'N' Cheese,0.87,30.0,2,https://tasty.co/recipe/roasted-red-pepper-vegan-mac-n-cheese,515.0,19.0,72.0,5.0,13.0,0,15,0,0,0,1,0,0,1,0,1,1,1
Pumpkin Sage Pasta,0.76,30.0,4,https://tasty.co/recipe/pumpkin-sage-pasta,109.0,4.0,15.0,3.0,5.0,0,11,0,1,0,1,0,1,1,0,0,0,1
Banana Berry Fruit Salad,0.95,30.0,4,https://tasty.co/recipe/banana-berry-fruit-salad,190.0,1.0,47.0,10.0,24.0,0,5,0,0,1,0,0,0,0,1,0,0,0
Rosemary Roasted Sweet Potatoes,0.98,30.0,4,https://tasty.co/recipe/rosemary-roasted-sweet-potatoes,137.0,1.0,29.0,2.0,10.0,0,6,0,0,0,0,0,0,1,0,0,0,0
Roasted Veggie Quinoa Salad,0.94,30.0,4,https://tasty.co/recipe/roasted-veggie-quinoa-salad,706.0,14.0,120.0,13.0,5.0,0,12,0,0,1,1,1,0,1,0,1,1,0
Anti-Inflammatory Golden Milk,0.87,10.0,2,https://tasty.co/recipe/anti-inflammatory-golden-milk,59.0,3.0,8.0,2.0,2.0,0,8,0,0,0,0,0,1,1,0,0,0,0
Sweet Potato Wedges,0.96,30.0,3,https://tasty.co/recipe/sweet-potato-wedges,230.0,6.0,38.0,2.0,14.0,0,5,0,0,0,0,0,0,1,0,1,0,0
Meatless Sloppy Joes,0.96,30.0,4,https://tasty.co/recipe/meatless-sloppy-joes,415.0,5.0,62.0,10.0,16.0,1,16,1,0,0,1,0,0,1,1,1,1,0
Protein-Packed Breakfast Bars,0.87,30.0,24,https://tasty.co/recipe/protein-packed-breakfast-bars,449.0,14.0,68.0,8.0,12.0,1,25,0,0,1,1,1,0,1,1,1,0,0
"One-Pot Vegan Swedish ""Meatball"" Pasta",0.76,30.0,8,https://tasty.co/recipe/one-pot-vegan-swedish-meatball-pasta,326.0,10.0,46.0,6.0,6.0,1,22,1,1,0,1,1,1,1,0,1,1,1
Vegan Challah Bread,0.96,30.0,6,https://tasty.co/recipe/vegan-challah-bread,443.0,14.0,68.0,1.0,12.0,0,7,0,1,0,0,1,0,0,1,1,0,0
3-Ingredient Mango Sorbet,0.9,30.0,4,https://tasty.co/recipe/3-ingredient-mango-sorbet,269.0,1.0,69.0,4.0,66.0,0,3,0,0,1,0,0,0,0,0,0,0,0
Baked Cinnamon Apple Chips,0.74,30.0,1,https://tasty.co/recipe/baked-cinnamon-apple-chips,142.0,0.0,38.0,6.0,27.0,0,3,0,0,1,0,0,0,1,0,0,0,0
"Strawberry Banana ""Ice Cream""",0.9,30.0,4,https://tasty.co/recipe/strawberry-banana-ice-cream,134.0,1.0,30.0,3.0,17.0,0,4,0,0,1,0,0,0,0,0,0,0,0
"Chocolate Peanut Butter Banana ""Ice Cream""",0.91,30.0,4,https://tasty.co/recipe/chocolate-peanut-butter-banana-ice-cream,135.0,2.0,29.0,3.0,15.0,0,4,0,0,1,0,0,0,0,0,0,0,0
Black Bean & Roasted Red Pepper Veggie Burgers,0.96,30.0,5,https://tasty.co/recipe/black-bean-roasted-red-pepper-veggie-burgers,99.0,0.0,19.0,6.0,0.0,1,7,0,0,0,0,0,0,1,0,0,0,0
Mushroom Lentil Burger & Fries,0.94,30.0,5,https://tasty.co/recipe/mushroom-lentil-burger-fries,731.0,10.0,134.0,14.0,12.0,1,23,1,0,0,1,1,0,1,0,1,1,0
Roasted Cauliflower And Curry Soup,0.89,30.0,4,https://tasty.co/recipe/roasted-cauliflower-and-curry-soup,502.0,24.0,61.0,19.0,20.0,1,20,0,0,0,1,0,1,1,0,1,0,0
Raspberry Pink Lemonade,0.86,30.0,1,https://tasty.co/recipe/raspberry-pink-lemonade,33.0,0.0,10.0,1.0,3.0,0,3,0,0,1,0,0,0,0,0,0,0,0
Cauliflower “Meat” Tacos,0.94,30.0,8,https://tasty.co/recipe/cauliflower-meat-tacos,64.0,1.0,12.0,4.0,5.0,0,17,1,0,0,1,0,0,1,0,1,1,0
Buddha Bowl Meal Prep,0.97,30.0,4,https://tasty.co/recipe/buddha-bowl-meal-prep,730.0,20.0,109.0,23.0,18.0,1,33,1,0,0,1,1,0,1,0,1,1,0
Tofu Lettuce Wraps with Mushrooms,0.95,30.0,4,https://tasty.co/recipe/lettuce-wraps,558.0,26.0,70.0,4.0,22.0,1,19,1,0,0,1,1,0,1,1,1,1,0
3-Ingredient Flourless Chocolate & Blueberry Banana Muffins,0.75,30.0,12,https://tasty.co/recipe/3-ingredient-flourless-chocolate-blueberry-banana-muffins,247.0,11.0,36.0,6.0,17.0,0,4,0,0,1,0,0,0,0,0,0,0,0
Rainbow Fruit Salad With Honey Lime Dressing,0.98,30.0,4,https://tasty.co/recipe/rainbow-fruit-salad-with-honey-lime-dressing,317.0,1.0,79.0,11.0,57.0,0,7,0,0,1,0,0,0,0,0,0,0,0
Sweet Potato Fries,0.95,30.0,2,https://tasty.co/recipe/sweet-potato-fries,119.0,3.0,19.0,1.0,7.0,0,5,0,0,0,0,0,0,1,0,1,0,0
3-ingredient Chocolate Avocado Smoothie,0.86,30.0,1,https://tasty.co/recipe/3-ingredient-chocolate-avocado-smoothie,463.0,19.0,66.0,11.0,41.0,0,3,0,0,1,0,0,0,0,0,0,0,0
Dark Chocolate Peanut Butter Balls,0.94,30.0,12,https://tasty.co/recipe/dark-chocolate-peanut-butter-balls,173.0,12.0,15.0,2.0,12.0,0,5,0,0,0,0,1,0,0,0,0,0,0
Frozen Banana Ice Cream,0.87,30.0,4,https://tasty.co/recipe/frozen-banana-ice-cream,215.0,8.0,31.0,4.0,16.0,0,3,0,0,1,0,0,0,0,0,0,0,0
Sweet Potato & White Bean Burgers,0.92,30.0,4,https://tasty.co/recipe/sweet-potato-white-bean-burgers,502.0,15.0,70.0,11.0,11.0,1,16,0,0,0,1,0,0,1,0,1,0,1
Roasted Veggie Summer Salad,0.97,30.0,2,https://tasty.co/recipe/roasted-veggie-summer-salad,377.0,12.0,63.0,12.0,15.0,0,19,0,0,0,1,0,0,1,0,1,1,0
Tofu Tacos,0.98,30.0,2,https://tasty.co/recipe/tofu-tacos,342.0,16.0,30.0,6.0,3.0,1,14,1,0,0,1,0,0,1,0,1,1,1
Cranberry Almond Cookies,0.94,30.0,13,https://tasty.co/recipe/cranberry-almond-cookies,218.0,11.0,26.0,1.0,12.0,0,12,0,1,0,0,1,0,0,1,1,0,0
Vanilla Berry Protein Smoothie,0.94,30.0,2,https://tasty.co/recipe/vanilla-berry-protein-smoothie,300.0,6.0,36.0,8.0,20.0,0,6,0,0,1,0,0,0,0,0,0,0,0
2-ingredient Pumpkin Bread,0.96,30.0,8,https://tasty.co/recipe/2-ingredient-pumpkin-bread,340.0,10.0,64.0,1.0,41.0,0,4,0,0,0,0,0,0,0,0,0,0,0
Rainbow Kettle Corn,0.84,75.0,10,https://tasty.co/recipe/rainbow-kettle-corn,119.0,3.0,21.0,2.0,10.0,0,10,0,0,1,0,0,0,0,1,1,0,0
Peanut Butter Fudge,0.85,30.0,6,https://tasty.co/recipe/peanut-butter-fudge,332.0,23.0,25.0,1.0,22.0,0,6,0,0,0,0,0,0,0,1,1,0,0
Arroz Con Gandules,0.95,91.0,6,https://tasty.co/recipe/arroz-con-gandules,774.0,41.0,96.0,9.0,2.0,1,15,0,0,0,1,1,0,1,0,1,0,0
Kale & Sweet Potato Salad,0.94,30.0,4,https://tasty.co/recipe/kale-sweet-potato-salad,718.0,24.0,102.0,11.0,6.0,1,15,0,0,0,1,1,0,1,1,1,0,0
Tempeh Taco Salad,0.95,30.0,3,https://tasty.co/recipe/tempeh-taco-salad,395.0,24.0,30.0,9.0,5.0,1,18,1,0,0,1,0,0,1,0,1,1,0
Middle Eastern Pita Salad (Fattoush Salad),0.93,30.0,6,https://tasty.co/recipe/middle-eastern-pita-salad-fattoush-salad,127.0,5.0,18.0,2.0,4.0,0,17,0,0,0,1,0,0,1,0,1,1,0
Pumpkin Spice Coffee,0.85,30.0,2,https://tasty.co/recipe/pumpkin-spice-coffee,61.0,1.0,12.0,0.0,9.0,0,7,0,0,0,0,0,1,1,1,0,0,0
One-Pot Butternut Squash Pilaf,0.91,30.0,4,https://tasty.co/recipe/one-pot-butternut-squash-pilaf,321.0,2.0,68.0,6.0,8.0,0,11,0,0,0,1,1,0,1,0,1,0,0
Smashed Cucumber Salad,0.94,30.0,4,https://tasty.co/recipe/smashed-cucumber-salad,42.0,1.0,6.0,1.0,3.0,1,9,1,0,0,1,1,0,0,1,1,1,0
Easy Classic Hummus,0.95,30.0,6,https://tasty.co/recipe/easy-classic-hummus,123.0,2.0,19.0,5.0,3.0,1,8,0,0,0,0,0,0,1,0,1,0,0
Farro Lentil Salad,0.94,30.0,4,https://tasty.co/recipe/farro-lentil-salad,645.0,8.0,128.0,22.0,5.0,1,16,0,0,1,1,1,0,1,0,1,1,0
Buffalo Chickpea Sliders,0.95,30.0,12,https://tasty.co/recipe/buffalo-chickpea-sliders,292.0,14.0,30.0,3.0,5.0,1,22,0,0,1,1,0,1,1,0,0,1,0
Black Bean & Quinoa Snack Bowl,0.95,30.0,1,https://tasty.co/recipe/black-bean-quinoa-snack-bowl,214.0,2.0,40.0,5.0,3.0,1,8,0,0,0,1,1,0,1,0,0,0,0
Stir-Fry Tofu That Tastes Like Chicken,0.93,30.0,3,https://tasty.co/recipe/stir-fry-tofu-that-tastes-like-chicken,328.0,26.0,12.0,1.0,9.0,1,8,1,0,1,0,1,0,1,1,1,1,0
Tofu Scramble,0.97,30.0,4,https://tasty.co/recipe/tofu-scramble,125.0,6.0,8.0,2.0,3.0,1,10,1,0,0,1,0,0,1,0,0,0,0
Winter Vegetable Chili,0.9,30.0,8,https://tasty.co/recipe/winter-vegetable-chili,172.0,2.0,30.0,9.0,5.0,1,15,0,0,0,1,0,0,1,0,1,0,0
Chocolate Coconut Cream Bars,0.93,30.0,16,https://tasty.co/recipe/chocolate-coconut-cream-bars,171.0,14.0,13.0,2.0,15.0,0,7,0,0,0,0,0,0,0,1,0,0,0
